
 Feature: AAC | value : None |SN: min = 0.9630 & max =  0.9921 |SP: min = 0.9275 & max =  0.9617 |ACC: min = 0.9432 & max =  0.9686 |MCC: min = 0.8808 & max =  0.9364
 Feature: PseAAC | value : 1 |SN: min = 0.9560 & max =  1.0000 |SP: min = 0.9147 & max =  0.9630 |ACC: min = 0.9338 & max =  0.9748 |MCC: min = 0.8608 & max =  0.9446
 Feature: PseAAC | value : 2 |SN: min = 0.9524 & max =  1.0000 |SP: min = 0.9144 & max =  0.9677 |ACC: min = 0.9338 & max =  0.9780 |MCC: min = 0.8562 & max =  0.9520
 Feature: PseAAC | value : 3 |SN: min = 0.9368 & max =  1.0000 |SP: min = 0.9245 & max =  0.9680 |ACC: min = 0.9369 & max =  0.9748 |MCC: min = 0.8547 & max =  0.9437
 Feature: PseAAC | value : 4 |SN: min = 0.9684 & max =  1.0000 |SP: min = 0.9070 & max =  0.9762 |ACC: min = 0.9274 & max =  0.9748 |MCC: min = 0.8466 & max =  0.9439
 Feature: PseAAC | value : 5 |SN: min = 0.9550 & max =  1.0000 |SP: min = 0.9048 & max =  0.9648 |ACC: min = 0.9308 & max =  0.9717 |MCC: min = 0.8581 & max =  0.9343
 Feature: PseAAC | value : 6 |SN: min = 0.9510 & max =  0.9898 |SP: min = 0.9286 & max =  0.9621 |ACC: min = 0.9432 & max =  0.9654 |MCC: min = 0.8739 & max =  0.9242
 Feature: PseAAC | value : 7 |SN: min = 0.9515 & max =  1.0000 |SP: min = 0.9019 & max =  0.9704 |ACC: min = 0.9274 & max =  0.9779 |MCC: min = 0.8494 & max =  0.9531
 Feature: PseAAC | value : 8 |SN: min = 0.9485 & max =  1.0000 |SP: min = 0.9387 & max =  0.9631 |ACC: min = 0.9495 & max =  0.9748 |MCC: min = 0.8840 & max =  0.9460
 Feature: PseAAC | value : 9 |SN: min = 0.9551 & max =  1.0000 |SP: min = 0.9167 & max =  0.9689 |ACC: min = 0.9432 & max =  0.9748 |MCC: min = 0.8820 & max =  0.9409
 Feature: PseAAC | value : 10 |SN: min = 0.9545 & max =  1.0000 |SP: min = 0.9190 & max =  0.9731 |ACC: min = 0.9369 & max =  0.9717 |MCC: min = 0.8673 & max =  0.9333
