
 Feature: AAC | value : NoneSN: min = 0.9630 & max =  0.9921SP: min = 0.9275 & max =  0.9617ACC: min = 0.9432 & max =  0.9686MCC: min = 0.8808 & max =  0.9364
 Feature: PseAAC | value : 1SN: min = 0.9560 & max =  1.0000SP: min = 0.9147 & max =  0.9630ACC: min = 0.9338 & max =  0.9748MCC: min = 0.8608 & max =  0.9446
 Feature: PseAAC | value : 2SN: min = 0.9524 & max =  1.0000SP: min = 0.9144 & max =  0.9677ACC: min = 0.9338 & max =  0.9780MCC: min = 0.8562 & max =  0.9520
 Feature: PseAAC | value : 3SN: min = 0.9368 & max =  1.0000SP: min = 0.9245 & max =  0.9680ACC: min = 0.9369 & max =  0.9748MCC: min = 0.8547 & max =  0.9437
 Feature: PseAAC | value : 4SN: min = 0.9684 & max =  1.0000SP: min = 0.9070 & max =  0.9762ACC: min = 0.9274 & max =  0.9748MCC: min = 0.8466 & max =  0.9439
 Feature: PseAAC | value : 5SN: min = 0.9550 & max =  1.0000SP: min = 0.9048 & max =  0.9648ACC: min = 0.9308 & max =  0.9717MCC: min = 0.8581 & max =  0.9343
 Feature: PseAAC | value : 6SN: min = 0.9510 & max =  0.9898SP: min = 0.9286 & max =  0.9621ACC: min = 0.9432 & max =  0.9654MCC: min = 0.8739 & max =  0.9242
 Feature: PseAAC | value : 7SN: min = 0.9515 & max =  1.0000SP: min = 0.9019 & max =  0.9704ACC: min = 0.9274 & max =  0.9779MCC: min = 0.8494 & max =  0.9531
 Feature: PseAAC | value : 8SN: min = 0.9485 & max =  1.0000SP: min = 0.9387 & max =  0.9631ACC: min = 0.9495 & max =  0.9748MCC: min = 0.8840 & max =  0.9460
 Feature: PseAAC | value : 9SN: min = 0.9551 & max =  1.0000SP: min = 0.9167 & max =  0.9689ACC: min = 0.9432 & max =  0.9748MCC: min = 0.8820 & max =  0.9409
 Feature: PseAAC | value : 10SN: min = 0.9545 & max =  1.0000SP: min = 0.9190 & max =  0.9731ACC: min = 0.9369 & max =  0.9717MCC: min = 0.8673 & max =  0.9333
 Feature: PseAAC | value : 11SN: min = 0.9333 & max =  0.9906SP: min = 0.9132 & max =  0.9818ACC: min = 0.9369 & max =  0.9811MCC: min = 0.8664 & max =  0.9558
