
 Feature: AAC | value : None |SN: min = 0.9722 & max =  0.9921 |SP: min = 0.9364 & max =  0.9665 |ACC: min = 0.9495 & max =  0.9686 |MCC: min = 0.8884 & max =  0.9364
 Feature: PseAAC | value : 1 |SN: min = 0.9474 & max =  1.0000 |SP: min = 0.9087 & max =  0.9643 |ACC: min = 0.9243 & max =  0.9686 |MCC: min = 0.8358 & max =  0.9268
 Feature: PseAAC | value : 2 |SN: min = 0.9651 & max =  1.0000 |SP: min = 0.9139 & max =  0.9713 |ACC: min = 0.9401 & max =  0.9748 |MCC: min = 0.8729 & max =  0.9450
 Feature: PseAAC | value : 3 |SN: min = 0.9490 & max =  1.0000 |SP: min = 0.9282 & max =  0.9717 |ACC: min = 0.9432 & max =  0.9716 |MCC: min = 0.8715 & max =  0.9411
 Feature: PseAAC | value : 4 |SN: min = 0.9490 & max =  0.9895 |SP: min = 0.9095 & max =  0.9680 |ACC: min = 0.9306 & max =  0.9685 |MCC: min = 0.8554 & max =  0.9282
 Feature: PseAAC | value : 5 |SN: min = 0.9406 & max =  1.0000 |SP: min = 0.9091 & max =  0.9764 |ACC: min = 0.9274 & max =  0.9842 |MCC: min = 0.8433 & max =  0.9654
 Feature: PseAAC | value : 6 |SN: min = 0.9310 & max =  1.0000 |SP: min = 0.9304 & max =  0.9615 |ACC: min = 0.9432 & max =  0.9748 |MCC: min = 0.8691 & max =  0.9468
 Feature: PseAAC | value : 7 |SN: min = 0.9528 & max =  1.0000 |SP: min = 0.9286 & max =  0.9541 |ACC: min = 0.9432 & max =  0.9654 |MCC: min = 0.8734 & max =  0.9246
 Feature: PseAAC | value : 8 |SN: min = 0.9524 & max =  1.0000 |SP: min = 0.9250 & max =  0.9747 |ACC: min = 0.9432 & max =  0.9748 |MCC: min = 0.8734 & max =  0.9464
 Feature: PseAAC | value : 9 |SN: min = 0.9495 & max =  1.0000 |SP: min = 0.9120 & max =  0.9725 |ACC: min = 0.9243 & max =  0.9780 |MCC: min = 0.8359 & max =  0.9502
 Feature: PseAAC | value : 10 |SN: min = 0.9596 & max =  1.0000 |SP: min = 0.9147 & max =  0.9733 |ACC: min = 0.9369 & max =  0.9748 |MCC: min = 0.8676 & max =  0.9460
