,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13
0,ACJ35486@H,39.2606454485981,17.449175754932487,54.28632457090107,32.959554203761364,27.143162285450536,25.204364979346924,20.3573717140879,45.077037366908925,8.239888550940341,36.352449489442684,61.556814468789604,26.17376363239873,10.17868585704395,33.44425353028726,26.658462958924634,54.77102389742697,48.954631979116144,7.270489897888536,35.86775016291678,49.43933130564204,0.0402002268036505,0.0400692970506034,0.04015236408429734,0.04028999021711843,0.03860891819795564,0.03975086153274339,0.03972478613433671,0.03891126182878248,0.04019080060697163,0.03785766337869739,0.03848953844998474,0.04025032014025517,0.04080464504870072
1,ATP16757@H,39.89395817674037,17.30340354653799,55.274761329218585,32.68420669901621,25.955105319806986,24.513155024262154,20.6679542361426,43.258508866344975,7.209751477724163,36.52940748713576,61.04256251139791,27.877705713866764,10.093652068813828,34.126156994561036,26.916405516836875,51.91021063961397,44.21980906337487,6.729101379209219,37.49070768416565,48.065009851494416,0.04036637002432933,0.040336605716962785,0.04040404933909418,0.040913593718050964,0.03868868101088926,0.03985824240315344,0.03992791923249041,0.03969606427307303,0.040156652144023856,0.03868575000330011,0.03945629926017666,0.040292185194037954,0.04056748916547383
2,ATP16767@H,40.358612905706444,17.777008065608793,53.81148387427526,32.19079838907538,25.94482258223986,24.983903227342086,20.179306452853222,44.20229032529754,7.206895161733294,36.99539516356424,61.018379036008554,28.827580646933175,10.570112903875499,34.11263709887093,27.38620161458652,52.85056451937749,45.16320968019531,6.726435484284408,36.99539516356424,47.08504838999085,0.04053404872467985,0.04083971274820628,0.04025886983759509,0.04074411986924199,0.03939564800080789,0.03948704016398883,0.03960295824927186,0.03946854523813161,0.04014583845500602,0.039011002997603524,0.039265800107063445,0.0404743727176365,0.04031236544188088
3,AFR79257@H,36.27993522009154,19.34929878404882,44.019654733711064,22.251693601656143,18.8655663144476,21.767961132054925,18.38183384484638,36.76366768969276,6.7722545744170874,35.3124702808891,49.340711899324496,18.8655663144476,7.255987044018308,29.023948176073233,17.898101375245158,52.24310671693182,44.019654733711064,5.321057165613426,25.637820888864688,56.5966989433428,0.041454972329077924,0.041399830457230155,0.03805306379441166,0.04014569011045747,0.03980279941031342,0.04090950152408368,0.03850014045039637,0.03921108605067403,0.039194309664205576,0.03927079529999907,0.0401020371870292,0.03895514814374588,0.039268155977155154
4,AFR79250@H,35.35642095829539,18.88904681333589,44.074442564450415,22.763723082738125,18.88904681333589,21.795054015387567,18.40471227966061,36.32509002564594,7.265018005129189,35.84075549197067,48.917787901203205,19.373381347011172,6.7806834714539095,28.575737486841476,17.920377745985334,52.79246417060544,44.558777098125695,5.327679870428072,25.6697302847898,57.15147497368295,0.04131408106529148,0.041296683111629054,0.037903850271620486,0.03989566591358819,0.03949544553150021,0.040952772410880675,0.03872857385716828,0.03917667750868249,0.039350051122017296,0.03918766633909724,0.03981689565426994,0.03945789171500359,0.03908921182397174
5,AGN52936@H,42.15535707377504,21.07767853688752,36.88593743955317,31.616517805331284,20.119602239756272,34.01170854815941,22.035754834018775,44.07150966803755,10.059801119878136,35.44882299385629,57.484577827875064,24.430945576846902,10.059801119878136,34.01170854815941,29.70036521106878,64.19111190779383,44.07150966803755,4.790381485656256,36.40689929098754,45.50862411373443,0.04121430689217174,0.042059494321019054,0.03793993088205149,0.039376486396024334,0.04047469187868418,0.03986386982983462,0.03867039772783423,0.03845241395658468,0.04054774948964013,0.041301663082142476,0.04047627966348212,0.03970420116523823,0.04088036614966703
6,AID55066@H,42.02385296050852,21.967014047538544,36.770871340444955,31.51788972038139,20.056838912969976,33.42806485494996,21.967014047538544,43.93402809507709,9.550875672842846,34.86069620587639,57.305254037057075,24.354732965749257,10.028419456484988,33.9056086385921,29.607714585812822,63.99086700804707,43.93402809507709,4.775437836421423,36.293327556802815,45.84420322964566,0.04129920525092476,0.04231983492705642,0.03788537617937067,0.03943397524526665,0.04068712349547944,0.040040833191367975,0.03878993259199088,0.03853904127117639,0.040646346601695645,0.041348596416264455,0.04038204437201639,0.03991756518528336,0.041166341629964624
7,AID55067@H,42.02385296050852,21.967014047538544,36.770871340444955,31.51788972038139,20.056838912969976,33.42806485494996,21.967014047538544,43.93402809507709,9.550875672842846,34.86069620587639,57.305254037057075,24.354732965749257,10.028419456484988,33.9056086385921,29.607714585812822,63.99086700804707,43.93402809507709,4.775437836421423,36.293327556802815,45.84420322964566,0.04129920525092476,0.04231983492705642,0.03788537617937067,0.03943397524526665,0.04068712349547944,0.040040833191367975,0.03878993259199088,0.03853904127117639,0.040646346601695645,0.041348596416264455,0.04038204437201639,0.03991756518528336,0.041166341629964624
8,ASU45807@H,41.59707088405618,21.515726319339404,36.337671117106545,31.55639860169779,20.081344564716776,33.4689076078613,21.99385357088028,43.98770714176056,10.040672282358388,34.90328936248392,57.37527018490508,24.384489828584655,10.040672282358388,34.42516211094304,29.64388959553429,65.02530620955909,43.98770714176056,4.781272515408756,36.337671117106545,45.42208889638319,0.041232253459524554,0.04220684523783615,0.037955808167955504,0.039393031135696595,0.04059360363443056,0.03996586502072379,0.038767762421468684,0.03852640693431826,0.040608186250747455,0.04132842049692782,0.040443912890073846,0.03984346777990465,0.041007185029516495
9,ALJ53431@H,37.76426185989216,19.617798368775144,55.91072535100916,27.464917716285203,22.07002316487204,28.445807634723963,14.222903817361981,40.21648665598905,10.78978910282633,38.745151778330914,65.71962453539673,21.08913324643328,5.8853395106325435,37.76426185989216,22.560468124091418,63.26739973929985,51.49672071803476,6.375784469851922,34.3311471453565,61.30561990242233,0.04103271280998539,0.0397932658630639,0.037590031395470576,0.039049603404862014,0.03905205488661463,0.03976739914625976,0.03888158518965403,0.03834816269013897,0.03992669866748318,0.03871432580343675,0.038544172798134047,0.03987547513330039,0.03897955299221762
