,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14
0,ACJ35486@H,37.810347986191346,16.80459910497393,52.28097499325224,31.742020531617428,26.14048749662612,24.27330981829568,19.605365622469588,43.41188102118266,7.935505132904357,35.00958146869569,59.28289128699137,25.206898657460897,9.802682811234794,32.20881495120004,25.67369307704351,52.74776941283484,47.14623637784353,7.001916293739138,34.54278704911308,47.61303079742614,0.03871522098534723,0.038589127808123784,0.038669126326086524,0.03880166851724261,0.03718269569323204,0.03828245537307139,0.03825734320600512,0.03747387067933711,0.038706142994587224,0.03645919240341356,0.03706772586118501,0.038763463862334355,0.03929731187849039,0.036940234828934354
1,ATP16757@H,38.423678724366155,16.66569197683351,53.237627148218166,31.479640400685522,24.998537965250268,23.60973030051414,19.906243194551138,41.66422994208378,6.94403832368063,35.183127506648525,58.79285780716267,26.85028151823177,9.721653653152883,32.868448065421646,25.92440974174102,49.997075930500536,42.59010171857453,6.481102435435255,36.108999283139276,46.29358882453754,0.038878679979867686,0.03885001262681541,0.03891497063517606,0.03940573591412141,0.03726282167455156,0.03838927924453474,0.038456388155942205,0.038233078139126214,0.03867669118698048,0.03725999868833783,0.038002149591398277,0.03880722920848247,0.039072386937458126,0.036854689771832275
2,ATP16767@H,38.866693215973335,17.119852964178733,51.82225762129779,31.000814827026353,24.98573135312572,24.060333895602543,19.433346607986667,42.568283046066036,6.94048093142381,35.62780211464223,58.76273855272159,27.76192372569524,10.179372032754921,32.851609742072704,26.373827539410478,50.89686016377461,43.49368050358921,6.477782202662223,35.62780211464223,45.34447541863556,0.039035643773591935,0.039330008445076524,0.03877063730746723,0.03923794930743923,0.03793932582542684,0.03802733953335573,0.03813897252404856,0.038009528301561804,0.0386617843079568,0.03756889983057093,0.037814277963581416,0.03897817378413697,0.03882215536248653,0.03696657497171229
3,AFR79257@H,34.929136175251124,18.6288726268006,42.38068522597136,21.42320352082069,18.163150811130585,20.957481705150673,17.69742899546057,35.39485799092114,6.52010541938021,33.99769254391109,47.50362519834153,18.163150811130585,6.985827235050225,27.9433089402009,17.231707179790554,50.297956092361616,42.38068522597136,5.1229399723701645,24.683256230510793,54.489452433391754,0.0399114928083374,0.039858404015894834,0.03663624642925064,0.03865095866932651,0.038320834707254885,0.039386331340664306,0.03706667722530724,0.03775115241895482,0.03773500066223502,0.03780863853319246,0.03860893106101839,0.03750474376499032,0.03780609747939878,0.03723267521415962
4,AFR79250@H,34.036170873498605,18.183707726937612,42.428651362854424,21.9136990555402,18.183707726937612,20.98120122338955,17.717458810862286,34.96866870564925,6.993733741129851,34.50241978957393,47.09114052360766,18.649956643012935,6.527484825054527,27.50868604844408,17.251209894786964,50.82113185221024,42.89490027892975,5.128738076828557,24.711192551992138,55.01737209688816,0.039771364988511804,0.03975461669477466,0.03648847619871138,0.03840591511648211,0.03802063943125731,0.03942354802157091,0.03728240364159989,0.037713774579002365,0.03788067421896818,0.037724353073645175,0.03833008623071711,0.037984487918163314,0.03762957496519263,0.037341168846079756
5,AGN52936@H,40.53605173902077,20.268025869510385,35.46904527164317,30.402038804265576,19.34675196635082,32.705223562164484,21.189299772669948,42.378599545339895,9.67337598317541,34.08713441690383,55.27643418957377,23.492484530568852,9.67337598317541,32.705223562164484,28.55949099794645,61.72535151169071,42.378599545339895,4.606369515797814,35.00840832006339,43.760510400079234,0.039631149930604646,0.04044387134309241,0.036482551873969635,0.03786392526711793,0.03891994560131337,0.03833258693816249,0.0371849594423,0.03697534903823736,0.03899019686481131,0.039715150524649676,0.038921472394850117,0.03817905159417637,0.03931003678732732,0.038412800819605804
6,AID55066@H,40.40827269472082,21.12250618133134,35.35723860788072,30.306204521040616,19.285766513389483,32.142944188982476,21.12250618133134,42.24501236266268,9.183698339709277,33.52049893993887,55.10219003825567,23.41843076625866,9.642883256694741,32.60212910596794,28.469464853098764,61.53077887605216,42.24501236266268,4.591849169854639,34.89805369089525,44.081752030604534,0.039711483604867905,0.040692875823049555,0.03642889701800359,0.03791796117897713,0.03912293294272989,0.038501488857794794,0.03729867833537268,0.03705743237161639,0.03908372369066041,0.03975897595830899,0.03882958239189044,0.0383829598117056,0.039583727841206486,0.03844436318835232
7,AID55067@H,40.40827269472082,21.12250618133134,35.35723860788072,30.306204521040616,19.285766513389483,32.142944188982476,21.12250618133134,42.24501236266268,9.183698339709277,33.52049893993887,55.10219003825567,23.41843076625866,9.642883256694741,32.60212910596794,28.469464853098764,61.53077887605216,42.24501236266268,4.591849169854639,34.89805369089525,44.081752030604534,0.039711483604867905,0.040692875823049555,0.03642889701800359,0.03791796117897713,0.03912293294272989,0.038501488857794794,0.03729867833537268,0.03705743237161639,0.03908372369066041,0.03975897595830899,0.03882958239189044,0.0383829598117056,0.039583727841206486,0.03844436318835232
8,ASU45807@H,39.99849616595263,20.68887732721688,34.941215041521836,30.343686746584755,19.30961883873575,32.18269806455959,21.14863015671059,42.29726031342118,9.654809419367876,33.561956553040716,55.170339539245006,23.447394304179127,9.654809419367876,33.10220372354701,28.50467542860992,62.52638481114435,42.29726031342118,4.597528294937084,34.941215041521836,43.6765188019023,0.0396476986687665,0.040584836901812305,0.03649716711335812,0.03787915762718647,0.0390335921454584,0.03842997751587171,0.03727791797888418,0.03704583777895073,0.039047614352081234,0.039740170008577595,0.038889654013830835,0.03831228399891054,0.03943127961464977,0.03842998278795337
9,ALJ53431@H,36.40131925425775,18.90977623597805,53.89286227253744,26.47368673036927,21.273498265475308,27.419175542168173,13.709587771084086,38.765041283755004,10.400376929787928,37.34680806605665,63.34775039052647,20.328009453676405,5.6729328707934155,36.40131925425775,21.74624267137476,60.98402836102922,49.63816261944238,6.145677276692867,33.092108412961586,59.09305073743141,0.03955180917890222,0.03835709486988188,0.03623337690752904,0.037640271788343956,0.03764263479414702,0.03833216170370641,0.03747831748575472,0.03696414663357995,0.03848571197699435,0.037317094625407145,0.03715308257901592,0.03843633714138823,0.03757274955147299,0.03609080486442491
