,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15,Xc2.lambda16,Xc2.lambda17,Xc2.lambda18,Xc2.lambda19,Xc2.lambda20
0,ACJ35486@H,30.780868284359112,13.680385904159605,42.56120059071877,25.840728930079255,21.280600295359385,19.76055741711943,15.960450221519539,35.34099691907898,6.460182232519814,28.50080396699918,48.26136138411861,20.520578856239407,7.980225110759769,26.220739649639242,20.900589575799398,42.94121131027876,38.38108267555889,5.700160793399835,28.120793247439188,38.761093395118884,0.031517512565212125,0.03141486189717044,0.031479987556560146,0.03158788827542118,0.030269905450454167,0.031165204215277673,0.031144760756066876,0.03050694687885555,0.031510122301626815,0.029680911678819578,0.030176310140032612,0.03155678640746139,0.03199138450941926,0.0300725214980297,0.030864369821024643,0.031183558232652384,0.03083596162112552,0.03138539969892468,0.03129110940830114,0.030353777527575208
1,ATP16757@H,31.22183242868733,13.54199960762342,43.25916541324148,25.579332592177572,20.31299941143513,19.184499444133177,16.175166197994642,33.85499901905855,5.642499836509758,28.58866583831611,47.77316528244929,21.8176660345044,7.899499771113661,26.707832559479524,21.065332722969764,40.62599882287026,34.60733233059319,5.266333180742441,29.340999149850745,37.61666557673172,0.031591551659790065,0.03156825750048812,0.03162104026672157,0.03201982018082004,0.030278557721885566,0.03119388052947864,0.03124841104961613,0.031066956588300984,0.03142742213202577,0.030276263855045126,0.03087931155639545,0.03153349308536015,0.031748951637380556,0.029946923003437275,0.03074503420618129,0.03162745786641305,0.031248376318101203,0.03137909609449229,0.03202107559918078,0.030411463381568502
2,ATP16767@H,31.543061336524087,13.893967493468942,42.05741511536545,25.159346542227546,20.277682287765483,19.526657017848244,15.771530668262043,34.547162416193046,5.632689524379301,28.914472891813745,47.690104639744746,22.530758097517204,8.261277969089642,26.661397082062024,21.404220192641343,41.30638984544821,35.29818768611029,5.257176889420681,28.914472891813745,36.80023822594477,0.03168017662369786,0.031919074304968265,0.03146510519559624,0.03184436182534092,0.03079043732709386,0.030861866655342313,0.030952464696524698,0.03084741158519182,0.03137676331322558,0.030489810520191205,0.030688952172329774,0.03163353567607944,0.03150691572885623,0.03000098143813071,0.031020305388031487,0.031647549859489546,0.031174909628784477,0.0316961953086873,0.032251813015383365,0.03063873477843492
3,AFR79257@H,28.417966893595818,15.15624900991777,34.48046649756293,17.429686361405437,14.777342784669825,17.050780136157492,14.398436559421881,28.796873118843763,5.304687153471219,27.66015444309993,38.648434975290314,14.777342784669825,5.683593378719164,22.734373514876655,14.019530334173938,40.92187232677798,34.48046649756293,4.167968477727387,20.082029938141044,44.33202835400948,0.03247155828906397,0.03242836582250871,0.029806853307461658,0.03144600136572843,0.031177416085581094,0.032044292606705056,0.03015704714137008,0.030713928745741012,0.030700787851404728,0.030760698825683736,0.03141180815878725,0.0305134533335944,0.030758631451837975,0.030292101307265912,0.030647264183054964,0.030556368963333448,0.03131236761940677,0.031465855464580694,0.031106073815392737,0.031322900413553255
4,AFR79250@H,27.696290278078646,14.796648230754347,34.52551253842681,17.831858124242416,14.796648230754347,17.073055650870398,14.417246994068337,28.455092751450664,5.691018550290133,28.075691514764657,38.3195249052869,15.176049467440354,5.311617313604124,22.38467296447452,14.037845757382328,41.35473479877496,34.90491377511282,4.173413603546098,20.10826554435847,44.76934592894904,0.03236319601200812,0.03234956740476171,0.02969180735284028,0.031252087005167815,0.030938576203534723,0.03208016653387324,0.030337850792911677,0.030688870734145085,0.03082468215937798,0.030697478784075888,0.031190382683626585,0.03090915859353492,0.030620354890983886,0.030385669866554662,0.030734550385015123,0.030492349229459596,0.030974602616760247,0.031713673831344324,0.03074873907806407,0.03160499915595114
5,AGN52936@H,32.849463957904284,16.424731978952142,28.743280963166246,24.63709796842821,15.678153252636134,26.503544784218228,17.171310705268148,34.342621410536296,7.839076626318067,27.623412873692235,44.79472357896039,19.03775752105816,7.839076626318067,26.503544784218228,23.1439405157962,50.020774663172425,34.342621410536296,3.732893631580032,28.36999160000824,35.46248950001031,0.03211615279251534,0.03277476313076973,0.02956460290193249,0.030684035445160466,0.03153980951339746,0.03106382785243652,0.030133817492642524,0.029963954145866962,0.03159673948682285,0.03218422490038342,0.0315410467910085,0.03093940641689544,0.031855930245573406,0.031128831297378822,0.031116182385733968,0.031691802225802194,0.03265729732440139,0.03059841171067978,0.03141371898144296,0.03214608180115248
6,AID55066@H,32.725649173319475,17.106589340598816,28.63494302665454,24.544236879989604,15.619059832720659,26.031766387867762,17.106589340598816,34.21317868119763,7.43764753939079,27.147413518776382,44.625885236344736,18.966001225446515,7.809529916360329,26.403648764837303,23.056707372111447,49.83223851391829,34.21317868119763,3.718823769695395,28.263060649685,35.70070818907579,0.03216133712081983,0.03295614212711832,0.029502852363642865,0.03070880817612553,0.031684684663156874,0.03118139264525586,0.03020726649351106,0.030011887422645718,0.03165293007079239,0.03219979998976922,0.03144710739069835,0.031085398936035277,0.03205787092385964,0.031135127994670848,0.03110783058861998,0.03187432669121349,0.03270398160808351,0.030676205509566026,0.03151007214975618,0.032252600165119605
7,AID55067@H,32.725649173319475,17.106589340598816,28.63494302665454,24.544236879989604,15.619059832720659,26.031766387867762,17.106589340598816,34.21317868119763,7.43764753939079,27.147413518776382,44.625885236344736,18.966001225446515,7.809529916360329,26.403648764837303,23.056707372111447,49.83223851391829,34.21317868119763,3.718823769695395,28.263060649685,35.70070818907579,0.03216133712081983,0.03295614212711832,0.029502852363642865,0.03070880817612553,0.031684684663156874,0.03118139264525586,0.03020726649351106,0.030011887422645718,0.03165293007079239,0.03219979998976922,0.03144710739069835,0.031085398936035277,0.03205787092385964,0.031135127994670848,0.03110783058861998,0.03187432669121349,0.03270398160808351,0.030676205509566026,0.03151007214975618,0.032252600165119605
8,ASU45807@H,32.41187753673664,16.76476424313964,28.313824055080282,24.588320889938142,15.647113293596998,26.078522155994996,17.137314559653856,34.27462911930771,7.823556646798499,27.19617310553764,44.70603798170571,19.000066142224927,7.823556646798499,26.823622789023425,23.098119623881285,50.66684304593314,34.27462911930771,3.7255031651421424,28.313824055080282,35.392280068850354,0.032127616711734204,0.032887005502714034,0.029574654657214698,0.030694519441762894,0.03162998936731128,0.031140863891884037,0.03020731847875288,0.030019257532967938,0.031641351945593435,0.03220254877240918,0.031513352354864035,0.031045493609891776,0.03195224642157267,0.03114086816399628,0.03112355352672031,0.0317617618982952,0.032687374912018265,0.03058043938122896,0.03141283409121069,0.03210663282364304
9,ALJ53431@H,29.69314068937747,15.425008150325958,43.96127322842898,21.59501141045634,17.353134169116704,22.36626181797264,11.18313090898632,31.621266708168214,8.483754482679277,30.464391096893767,51.673777303591955,16.581883761600405,4.627502445097787,29.69314068937747,17.738759372874853,49.74565128480121,40.49064639460564,5.013127648855936,26.993764263070425,48.203150469768616,0.03226304591505119,0.031288498267105606,0.02955614742014214,0.03070377416793689,0.030705701709718272,0.031268159883051205,0.030571665442468927,0.030152248021211137,0.03139341330685666,0.030440153366183827,0.030306366106051003,0.03135313746053562,0.030648695194972563,0.029439849114998494,0.031365926949792046,0.03039180483561099,0.030137296748678422,0.030674611030637462,0.030990635059182547,0.03072366624166604
10,AOG74783@H,28.537060214813152,14.45877717550533,34.24447225777578,17.5027302650854,14.83927131170284,17.5027302650854,14.45877717550533,28.537060214813152,5.7074120429626305,28.537060214813152,38.04941361975087,15.219765447900349,5.326917906765122,22.829648171850522,14.45877717550533,41.09336670933094,35.0054605301708,4.185435498172596,20.16618921846796,44.898308071306026,0.03224093191756351,0.032407584223532,0.029535073771599883,0.03126292258609835,0.03100606797260639,0.03177903135181901,0.030126056138899057,0.03060336146241816,0.03071063302327499,0.030551152275132023,0.031164594574095834,0.030673654361595026,0.030665564135557485,0.03049860945223539,0.03076107230800784,0.030295321170593536,0.031376366498423784,0.0313144096887151,0.030882617898530085,0.0316508389917939
11,ARK08679@H,30.839110406927364,13.915208354345275,43.24997191215423,25.197809722733336,20.68476917537811,19.556509038539303,16.54781534030249,32.343457256045774,6.393474108753234,28.20650342097015,47.38692574722985,21.813029312216916,7.897820957871642,27.454329996410948,21.813029312216916,40.99345163847662,34.976064242002984,5.265213971914428,29.334763557808955,36.856497803401,0.031674812589763804,0.03171448543356389,0.031286165718335555,0.03191856968780059,0.03068612098170696,0.030524937129922432,0.03107499177030041,0.030770660400372674,0.031694464095168455,0.030254677865750083,0.031055203574689695,0.031591624521516495,0.03150643419042774,0.029978424857223837,0.030900547287541668,0.031440298325166184,0.03141894599887133,0.03142496506350369,0.03205246447362356,0.03094449375514902
12,ARU07610@H,31.209797321723098,13.912801215707887,43.24249026503803,25.193450850065634,20.681190996322535,19.55312603288676,16.544952797058027,32.33786228515887,6.3923681261360565,28.201624085894366,47.37872846430253,21.80925595975831,7.8964547440504225,27.449580776937182,21.80925595975831,40.610338683687885,34.970013866509014,5.264303162700282,29.329689049330142,36.85012213890197,0.0316673327194193,0.03171951746253019,0.03128850538381826,0.03193879816071084,0.030680612088921328,0.030535303059824263,0.031084394284405004,0.030754342939646056,0.03169555144550598,0.03023759634336544,0.03103979480386925,0.03160028455993298,0.03150084089817211,0.030003367816044624,0.030895169959729334,0.03143373009465234,0.031443707169716485,0.031442686869960705,0.03204509509711811,0.030971714364065955
13,ARK08670@H,31.541334207677146,13.893206734333981,41.679620203001946,25.157968951361532,20.276571990649593,19.525587842847756,15.770667103838573,34.545270798884495,5.632381108513776,28.91288969037072,47.68749338541664,22.529524434055105,8.260825625820205,26.659937246965207,21.02755613845143,41.679620203001946,35.67174702058725,5.256889034612858,28.91288969037072,36.79822324229001,0.03172840162145122,0.03193882643999766,0.0314734544979506,0.03188079824096765,0.030810713184116257,0.030842858710188777,0.030930458508426087,0.030828903203417076,0.031374558844910416,0.03047061808657628,0.030677028540956587,0.03166256813471043,0.03148488990094021,0.030007560658750685,0.031021383262183063,0.031641946400847894,0.031199200489329684,0.03167325377639597,0.0322446377487639,0.030615865848201113
14,ARK08627@H,29.204038269420042,16.13907378046897,44.1903210655698,21.518765040625293,17.291864764788183,22.28729236350477,11.527909843192122,31.893883899498203,7.685273228794748,30.356829253739253,50.722803310045336,16.13907378046897,4.6111639372768485,29.204038269420042,18.06039208766766,49.185748664286386,40.731948112612166,4.995427598716586,26.898456300781618,48.417221341406915,0.0322713713774872,0.0313323895411045,0.029464500016874593,0.03088422261279238,0.030844610658725485,0.03140936381819505,0.030573208928278976,0.030181922723690163,0.03150829057583429,0.030507155797780912,0.030264255288739928,0.03141811669582515,0.030704982949638908,0.029536187117540403,0.031386271969703186,0.03037602166046026,0.030130177499847397,0.030888645279934065,0.03105407853415219,0.031000565513657534
15,ARK08635@H,31.263555629947767,13.560096417808671,43.316974667999915,25.236846110921693,20.716813971652137,19.586805936834747,16.573451177321708,32.39356366476515,6.403378863965205,28.25020087043473,48.59034549714774,21.846822006469523,7.910056243721725,27.8735315254956,21.093483316591264,40.68028925342601,35.406918424278196,5.273370829147816,29.00353956031299,36.53692645909558,0.031759613895072265,0.03178195459694456,0.031324905589952406,0.03192304611563424,0.030574077838048948,0.0305274883251578,0.031107595355536647,0.030654127037747645,0.03160843456222124,0.03023464849751656,0.03096227094091164,0.03159920049071759,0.031418207537081376,0.029982300109499586,0.030737274265001273,0.03132094817957472,0.031394734757258784,0.03139673318831798,0.03205945145067742,0.030963642327997615
16,ARK08642@H,27.929889155003384,13.391042745549568,34.051508695826044,17.599656179865146,14.921447630755232,17.98225740116656,14.538846409453816,28.695091597606215,6.504220762124075,29.077692818907632,38.64272335144304,16.451852515960898,5.739018319521243,22.573472056783555,14.538846409453816,41.70353312185436,34.81671113842887,4.208613434315578,19.895263507673643,44.764342892265695,0.032307890020684654,0.03236612847475796,0.02935540203909832,0.0312262529010827,0.0308497289118392,0.03160398552813279,0.029995797922060936,0.030495789840108256,0.030360383547779732,0.030499687010416856,0.031019161925166263,0.030584395995166193,0.03059057613681349,0.03037026008103272,0.03081084655540679,0.030082902484048452,0.031357206813778356,0.031178937777152436,0.030708423610610606,0.03163502112344698
17,ARK08651@H,31.21280790509735,13.914143282995203,43.6227194818228,25.195881080018342,20.683185961209087,19.555012181506772,16.54654876896727,32.340981684799665,6.392984751646445,28.204344492557844,47.38329874749718,21.8113597409114,7.897216457916197,27.45222863942297,21.8113597409114,40.23819814271586,34.97338717077173,5.264810971944131,29.33251827226016,36.85367680360892,0.031671644768159604,0.03173144903590972,0.03127224728229197,0.0319118126242546,0.030696793152181934,0.030513583004356883,0.03106463940264155,0.0307692682034552,0.031704323620763614,0.03024688104737166,0.031020865435903655,0.031597677978324926,0.0314879529811176,0.03002047147407095,0.030889544371248353,0.03143757327919118,0.03143277951656964,0.031445719918504936,0.03204340460597366,0.030983441730270508
18,ARK08661@H,31.20699695377886,13.911552858913467,42.86262232205771,25.191190312086547,20.679335330817317,19.551371585500007,16.543468264653853,32.334960699096165,6.39179455679808,28.199093632932705,47.37447730332694,21.807299076134623,7.895746217221157,27.447117802721166,21.807299076134623,40.982682746528866,34.96687610483655,5.263830811480771,29.32705737825001,36.8468156803654,0.031641523711695325,0.03172786925212871,0.03129422597375273,0.03194446670008076,0.03065528588681276,0.03054182833386314,0.031118269839399214,0.030774345756686455,0.03170080990118599,0.030233467184056496,0.031048421411621112,0.03161660798900463,0.031522803746044895,0.02998398335331394,0.030901725033338184,0.03142403023208537,0.03144265510764515,0.031440858054298984,0.032040478781698294,0.030958428645518458
19,ARU07587@H,31.209797321723098,13.912801215707887,43.24249026503803,25.193450850065634,20.681190996322535,19.55312603288676,16.544952797058027,32.33786228515887,6.3923681261360565,28.201624085894366,47.37872846430253,21.80925595975831,7.8964547440504225,27.449580776937182,21.80925595975831,40.610338683687885,34.970013866509014,5.264303162700282,29.329689049330142,36.85012213890197,0.0316673327194193,0.03171951746253019,0.03128850538381826,0.03193879816071084,0.030680612088921328,0.030535303059824263,0.031084394284405004,0.030754342939646056,0.03169555144550598,0.03023759634336544,0.03103979480386925,0.03160028455993298,0.03150084089817211,0.030003367816044624,0.030895169959729334,0.03143373009465234,0.031443707169716485,0.031442686869960705,0.03204509509711811,0.030971714364065955
20,ARU07601@H,27.93225899511204,13.392178970259197,34.05439795294482,17.601149503769232,14.92271370971739,17.98378318863378,14.540080024852843,28.69752636484114,6.504772642697325,29.080160049705686,38.26336848645485,16.453248449175586,5.739505272968227,22.57538740700836,14.540080024852843,42.089705335100334,34.81966532267391,4.208970533510033,19.89695161295652,44.76814112915218,0.03227709881221907,0.032385912665897305,0.02936263674955048,0.031200176817605573,0.030884077434761945,0.031663359923565136,0.03001251715193719,0.03050645233309865,0.030419798791051757,0.030502823019474774,0.031023784385723306,0.030567816329869355,0.030559291727684127,0.03036058628554969,0.030775553579298107,0.030027740752822774,0.031374164384471374,0.031151889551535056,0.030674994641273712,0.03163563979806208
21,ARU07568@H,31.209797321723098,13.912801215707887,43.24249026503803,25.193450850065634,20.681190996322535,19.55312603288676,16.544952797058027,32.33786228515887,6.3923681261360565,28.201624085894366,47.37872846430253,21.80925595975831,7.8964547440504225,27.449580776937182,21.80925595975831,40.610338683687885,34.970013866509014,5.264303162700282,29.329689049330142,36.85012213890197,0.0316673327194193,0.03171951746253019,0.03128850538381826,0.03193879816071084,0.030680612088921328,0.030535303059824263,0.031084394284405004,0.030754342939646056,0.03169555144550598,0.03023759634336544,0.03103979480386925,0.03160028455993298,0.03150084089817211,0.030003367816044624,0.030895169959729334,0.03143373009465234,0.031443707169716485,0.031442686869960705,0.03204509509711811,0.030971714364065955
22,ARU07594@H,29.796508104035148,15.091737870874944,42.95340778633638,21.670187712025562,17.413543697163398,21.670187712025562,10.835093856012781,31.344378654894115,9.674190942868554,31.344378654894115,50.69276054063123,17.413543697163398,4.643611652576906,28.63560519089092,18.574446610307625,52.240631091490194,39.857666684618444,5.030579290291648,26.313799364602467,47.983987076628026,0.03210621171437789,0.03139479756853379,0.029410124505856165,0.030840837041968473,0.03072437334553061,0.031052171767506444,0.030587031202044392,0.030029141528076564,0.03130846587600381,0.030136618452391104,0.030297086997627617,0.031459780925645366,0.030788295660704675,0.029300831506112207,0.031133104452561164,0.030041818224473348,0.029991249945376774,0.030720827624597748,0.031100094150147854,0.030609499795721886
23,APT69890@H,28.597470798278508,14.108085593817398,34.698264568577926,16.777182868323393,14.870684815104825,17.539782089610817,14.870684815104825,28.597470798278508,6.100793770299415,28.978770408922223,38.129961064371344,15.251984425748537,5.338194549011988,22.496677027979093,14.489385204461112,40.79905833887734,34.698264568577926,4.194295717080848,20.97147858540424,44.993354055958186,0.03236956243644719,0.03257227305762851,0.02936448818347576,0.031130391837224564,0.03096307400213366,0.031736208970190874,0.030128078958493933,0.030544838038837493,0.030455391179110742,0.03059295304013822,0.031053044556892086,0.03050724868516865,0.03077893595013211,0.030389465192233615,0.030795184669866082,0.030257218293545822,0.031460767237090195,0.03128143050616395,0.03082520488827902,0.031494629673234104
24,APT69883@H,27.8912191774462,13.372502345350918,34.00436310674948,17.57528879674692,14.900788327676738,17.957360292328374,14.518716832095283,28.65536216860911,6.495215424884732,29.037433664190566,38.20714955814548,16.81114580558401,5.731072433721822,22.542218239305832,14.518716832095283,42.027864513960026,34.38643460233093,4.202786451396003,19.86771777023565,44.702364983030215,0.03229373314193114,0.0324421135448785,0.029454437494301836,0.031226104570630787,0.030882660580890228,0.03170202490790755,0.029976278946455794,0.030562492981197172,0.030420275783861226,0.03059029909905134,0.031054569183020114,0.03056978074328302,0.030603940888547194,0.03038040058898182,0.030808725963723495,0.029951873296121454,0.03140933729205598,0.031242816949941885,0.03063786493729479,0.031718773524469904
25,APT69869@H,28.36716325099928,13.416901537634795,34.500603953918045,16.866961933026598,14.950261713364485,18.016982064823868,14.566921669432062,29.133843338864125,6.516780746851186,28.750503294931704,38.717344437174695,16.483621889094177,5.366760615053918,22.233722548080518,14.566921669432062,42.1674048325665,35.26728404178289,4.2167404832566495,19.93368228448598,44.85078514009346,0.03217432106744477,0.032333221613073226,0.029286724809968794,0.031089313688708306,0.03086416534477825,0.03166223841519858,0.029932896643552625,0.030709085719753223,0.030439160712134993,0.030472221946464265,0.03089395082220908,0.030568898672620064,0.030664550903499264,0.030230024084616215,0.03067844499446001,0.03005909745557373,0.031282331495417925,0.03106631825449062,0.03064529100111778,0.03160769842249568
26,APT69849@H,27.966545443301012,13.408617678295006,34.09619923909302,17.622754662902008,14.941031127243006,18.00585802513901,14.557927765006006,28.73275216777501,6.512757158029003,29.115855530012013,38.31033622370002,16.09034121395401,6.129653795792002,22.60309837198301,14.557927765006006,42.14136984607002,34.862405963567014,4.214136984607002,19.92137483632401,44.82309338172902,0.032329999927585826,0.032340532423888665,0.029494420191676446,0.031163925430526485,0.030890896947870037,0.0316217183388904,0.029944074194523745,0.03046909300619273,0.030425941385533097,0.030435943852888777,0.03100654602329469,0.03053767362331034,0.03048554188843133,0.03032722258037211,0.030808521410369515,0.029991465466724425,0.031326926340431306,0.031085083282137712,0.030551299226478833,0.0316598122218733
