,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9
0,ACJ35486@H,46.59476195142308,20.70878308952137,64.42732516739981,39.11659028020703,32.21366258369991,29.912686684864198,24.16024693777493,53.4976896479302,9.779147570051757,43.14329810316952,73.05598478803371,31.063174634282053,12.080123468887464,39.69183425491595,31.63841860899098,65.00256914210874,58.09964144560162,8.628659620633904,42.56805412846059,58.674885420310545,0.047709862558466855,0.047554474367420045,0.04765305880526499,0.04781639429870433,0.04582128826666925,0.04717655324610299,0.047145606811889666,0.0461801114430317,0.04769867549352331
1,ATP16757@H,47.43643274585772,20.574838299408167,65.7251779008872,38.86358345443765,30.86225744911225,29.147687590828237,24.575501302070865,51.43709574852042,8.57284929142007,43.43576974319502,72.58345733402325,33.14835059349094,12.001989007988097,40.57815331272166,32.00530402130159,61.7245148982245,52.58014232070976,8.001326005325398,44.578816315384366,57.15232860946713,0.04799816023194021,0.0479627685929766,0.04804296331397168,0.04864884372213599,0.04600328216790006,0.04739396443814515,0.04747681458337627,0.04720112441143418,0.0477487924434485
2,ATP16767@H,47.99246421825706,21.139537810422755,63.98995229100942,38.27970360265742,30.8522984260224,29.70962070654009,23.99623210912853,52.56317509618631,8.570082896117333,43.99309220006898,72.56003518712676,34.28033158446933,12.569454914305423,40.56505904162204,32.56631500524587,62.84727457152711,53.70585281566862,7.998744036376178,43.99309220006898,55.99120825463324,0.04820108380794299,0.04856456433058074,0.04787385470017136,0.048450890011943165,0.04684735403199378,0.046956033067409045,0.047093877115052425,0.046934039817306636,0.04773944337644425
3,AFR79257@H,43.06715198812683,22.969147727000976,52.25481107892722,26.41451988605112,22.39491903382595,25.840291192876098,21.820690340650927,43.641380681301854,8.039201704450342,41.91869460177678,58.571326703852485,22.39491903382595,8.613430397625365,34.45372159050146,21.2464616474759,62.01669886290263,52.25481107892722,6.316515624925268,30.43412073827629,67.18475710147786,0.04921033025911468,0.04914487249681794,0.045171995818235035,0.04765610873246067,0.04724907035687281,0.04856281327979098,0.045702711162042324,0.04654665980849668,0.0465267449111446
4,AFR79250@H,41.96865197749733,22.421608590717753,52.317086711674754,27.02091291701883,22.421608590717753,25.871086835443563,21.846695549930118,43.1184780590726,8.62369561181452,42.543565018284966,58.066217119551105,22.996521631505388,8.048782571026885,33.91986940647045,21.271782509142483,62.665521445852185,52.89199975246239,6.324043448663982,30.47039116174464,67.8397388129409,0.049040492306745224,0.04901984065019774,0.04499249238301587,0.04735681024142357,0.046881742079123885,0.0486116130038511,0.045971452815134164,0.0465033592041442,0.04670915652872953
5,AGN52936@H,50.326492760992956,25.163246380496478,44.03568116586884,37.74486957074472,24.019462454110275,40.604329386710226,26.30703030688268,52.61406061376536,12.009731227055138,42.32000527628953,68.62703558317222,29.166490122848188,12.009731227055138,40.604329386710226,35.45730171797231,76.63352306787563,52.61406061376536,5.718919631931017,43.463789202675734,54.32973650334467,0.04920303518787107,0.05021204856059915,0.045293974228389815,0.047008982846350134,0.04832005773954673,0.04759083769366065,0.046166030284328204,0.045905793876732236,0.048407276389420224
6,AID55066@H,50.196587673870646,26.23912537497784,43.92201421463682,37.64744075540298,23.957462298892807,39.929103831488014,26.23912537497784,52.47825074995568,11.408315380425147,41.640351138551786,68.44989228255088,29.091204220084126,11.978731149446403,40.499519600509274,35.36577767931796,76.43571304884848,52.47825074995568,5.704157690212574,43.35159844561556,54.75991382604071,0.04933101158495339,0.050550131761026774,0.04525326625172777,0.047103034497775365,0.04859989310494013,0.04782791324998513,0.04633373941335628,0.04603405513181949,0.04855118598315837
7,AID55067@H,50.196587673870646,26.23912537497784,43.92201421463682,37.64744075540298,23.957462298892807,39.929103831488014,26.23912537497784,52.47825074995568,11.408315380425147,41.640351138551786,68.44989228255088,29.091204220084126,11.978731149446403,40.499519600509274,35.36577767931796,76.43571304884848,52.47825074995568,5.704157690212574,43.35159844561556,54.75991382604071,0.04933101158495339,0.050550131761026774,0.04525326625172777,0.047103034497775365,0.04859989310494013,0.04782791324998513,0.04633373941335628,0.04603405513181949,0.04855118598315837
8,ASU45807@H,49.67543913715975,25.694192657151593,43.394636487633804,37.68481589715567,23.981246480008153,39.968744133346924,26.265174716199407,52.530349432398815,11.990623240004076,41.68169031049036,68.51784708573759,29.120085011438473,11.990623240004076,41.11070825144255,35.40088766096442,77.65356003050259,52.530349432398815,5.709820590478132,43.394636487633804,54.24329560954225,0.04923977226486941,0.05040363485274337,0.04532702419851563,0.04704336336719291,0.048477093310746844,0.047727444582206485,0.04629666420550015,0.04600843622315547,0.04849450794725645
9,ALJ53431@H,44.750405482183,23.24696388684831,66.25384707751768,32.54574944158763,26.152834372704348,33.70809763593005,16.854048817965026,47.65627596803903,12.78583013776657,45.91275367652541,77.87732902094184,24.990486178361934,6.974089166054493,44.750405482183,26.734008469875555,74.9714585350858,61.023280202976814,7.555263263225701,40.68218680198454,72.64676214640097,0.048623498669015275,0.0471547620721192,0.044543943511361435,0.046273526880236476,0.04627643187022063,0.04712411018039754,0.04607442638445966,0.04544232418065701,0.04731287908032503
