,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11
0,ACJ35486@H,42.7236058320626,18.98826925869449,59.07461547149397,35.86673082197848,29.537307735746985,27.427500040336486,22.152980801810237,49.053028918294096,8.96668270549462,39.55889428894685,66.98639432928334,28.482403888041734,11.076490400905119,36.3941827458311,29.009855811894358,59.602067395346594,53.272644309115094,7.911778857789371,39.03144236509423,53.80009623296772,0.04374606236586998,0.0436035840368217,0.04369397794564892,0.04384374330441098,0.04201439339175983,0.043257061115648844,0.043228685753229,0.04234340505118842,0.04373580473747896,0.04119687461664318,0.04188448382867541
1,ATP16757@H,43.40355554407963,18.825638549239358,60.13745647673684,35.559539481896564,28.238457823859036,26.669654611422423,22.48617937825812,47.064096373098394,7.844016062183066,39.743014715060866,66.4126693264833,30.330195440441187,10.981622487056292,37.12834269433318,29.284326632150112,56.47691564771807,48.10996518138947,7.321081658037528,40.78888352335194,52.29344041455377,0.043917526952373324,0.04388514418498053,0.0439585210353373,0.04451289164093739,0.04209224634326611,0.04336469774120602,0.04344050426105207,0.04318825228934599,0.043689359528471715,0.04208905748569193,0.04292739439179994
2,ATP16767@H,43.905603390554816,19.339372922030098,58.54080452073976,35.019945561513964,28.225030751070957,27.179659241772033,21.952801695277408,48.08708942775052,7.840286319741932,40.246803108008585,66.38109084048169,31.36114527896773,11.499086602288166,37.11068858011181,29.793088015019343,57.49543301144084,49.132460937049444,7.31760056509247,40.246803108008585,51.22320395564729,0.0440964577072366,0.04442898557233117,0.04379709422053736,0.044324991338421965,0.04285800655435331,0.04295743088489218,0.04308353664303903,0.04293731049866083,0.043674128868228634,0.04243955632177702,0.042716746741059866
3,AFR79257@H,39.35870301590923,20.99130827515159,47.755226325969865,24.140004516424327,20.4665255682728,23.615221809545538,19.941742861394008,39.883485722788016,7.346957896303056,38.30913760215165,53.52783610163655,20.4665255682728,7.871740603181846,31.486962412727383,19.41696015451522,56.67653234290929,47.755226325969865,5.7726097756666865,27.813483464575857,61.399576704818394,0.04497290126166868,0.04491307997079174,0.041282301846566456,0.04355251145959,0.043180522558506934,0.0443811410149269,0.04176731807444835,0.042538595547024965,0.04252039549212723,0.04260337180964039,0.04350515408591867
4,AFR79250@H,38.37029661970451,20.499199563951727,47.831465649220696,24.704163577070027,20.499199563951727,23.652922573790452,19.973579062311938,39.42153762298409,7.884307524596817,38.8959171213443,53.087670665618575,21.024820065591513,7.35868702295703,31.011609596747483,19.44795856067215,57.292634678736874,48.35708615086048,5.7818255180376665,27.857886586908755,62.02321919349497,0.04483580357060495,0.04481692256895066,0.04113487560481474,0.04329647892671819,0.04286214269138257,0.044443696002439,0.042029900829343596,0.04251620203175472,0.04270435447449018,0.04252812757939471,0.04321099408031879
5,AGN52936@H,45.85017346365722,22.92508673182861,40.11890178070007,34.387630097742914,21.88303733492731,36.99275358999617,23.967136128729912,47.934272257459824,10.941518667463654,38.55582768534812,62.52296381407803,26.572259620983164,10.941518667463654,36.99275358999617,32.30353130394032,69.81730959238713,47.934272257459824,5.210246984506503,39.59787708224942,49.497346352811775,0.04482664248065531,0.04574590856952114,0.04126527523173102,0.042827741406327925,0.04402220197727202,0.043357842834348244,0.042059765752353956,0.04182267622405123,0.0441016629133829,0.04492165523208979,0.04402392892761622
6,AID55066@H,45.731980615187084,23.90535350339325,40.0154830382887,34.298985461390316,21.826627111793837,36.37771185298973,23.90535350339325,47.8107070067865,10.393631957997064,37.93675664668929,62.36179174798239,26.503761492892515,10.913313555896918,36.89739345088958,32.2202590697909,69.63733411858033,47.8107070067865,5.196815978998532,39.495801440388846,49.88943339838591,0.04494339097685319,0.04605407962808183,0.041228330269054994,0.04291357561123733,0.04427729995941983,0.04357398187749183,0.04221270350979913,0.04193967387991752,0.04423292496796389,0.04499714035147619,0.04394530106885113
7,AID55067@H,45.731980615187084,23.90535350339325,40.0154830382887,34.298985461390316,21.826627111793837,36.37771185298973,23.90535350339325,47.8107070067865,10.393631957997064,37.93675664668929,62.36179174798239,26.503761492892515,10.913313555896918,36.89739345088958,32.2202590697909,69.63733411858033,47.8107070067865,5.196815978998532,39.495801440388846,49.88943339838591,0.04494339097685319,0.04605407962808183,0.041228330269054994,0.04291357561123733,0.04427729995941983,0.04357398187749183,0.04221270350979913,0.04193967387991752,0.04423292496796389,0.04499714035147619,0.04394530106885113
8,ASU45807@H,45.25605225222592,23.40830288908237,39.53402265711689,34.332177570654146,21.847749363143546,36.41291560523924,23.928487397728645,47.85697479545729,10.923874681571773,37.97346913117807,62.42214103755299,26.529409940960022,10.923874681571773,37.4532846225318,32.25143953606904,70.74509317589339,47.85697479545729,5.2018450864627495,39.53402265711689,49.41752832139612,0.04485914458357913,0.04591946386824216,0.041294495050199546,0.04285813970939887,0.044164317538283336,0.04348136148154948,0.04217787081061863,0.041915285097112835,0.04418018287764463,0.04496377071174558,0.044001459625350854
9,ALJ53431@H,40.99708842034263,21.297188789788375,60.69698805089688,29.816064305703726,23.959337388511923,30.880923745193147,15.440461872596574,43.659237019066175,11.713453834383607,42.061947859832046,71.34558244579107,22.894477949022505,6.389156636936513,40.99708842034263,24.491767108256635,68.68343384706752,55.90512057319449,6.921586356681223,37.27008038212966,66.55371496808868,0.044545336578764534,0.04319978622049761,0.040807942878933405,0.04239246220429137,0.04239512354623805,0.04317170517180937,0.042210060714473675,0.04163097434283603,0.04334464159993669,0.042028483013542506,0.04184376398396733
10,AOG74783@H,39.53149986022005,20.02929326251149,47.437799832264055,24.245986580934964,20.556379927314424,24.245986580934964,20.02929326251149,39.53149986022005,7.9062999720440095,39.53149986022005,52.708666480293395,21.083466592117357,7.379213307241075,31.625199888176038,20.02929326251149,56.92535979871687,48.49197316186993,5.7979533128322736,27.9355932345555,62.19622644674621,0.0446623578602163,0.04489321610421576,0.04091401692692662,0.0433075520232072,0.04295173933469195,0.044022501406443044,0.04173268637621183,0.04239388256068017,0.04254248250969721,0.042321558801176974,0.043171341293598994
11,ARK08679@H,42.907077814883266,19.360510721349765,60.174560350141164,35.05822211703877,28.779137558763164,27.209366419194264,23.023310047010533,45.00010600097513,8.895369790890433,39.244278489222495,65.93038786189379,30.348908698332064,10.988397976982299,38.19776439617657,30.348908698332064,57.035018071003364,48.662905326635894,7.325598651321533,40.814049628791395,51.27919055925073,0.04406980715810635,0.04412500478779172,0.04352907490821833,0.04440895133689061,0.042694220534430984,0.042469962182624964,0.04323526432479811,0.04281184193684018,0.044097148694890356,0.04209394500427499,0.0432077326081668
12,ARU07610@H,43.42755897132281,19.359273276372818,60.17071423737498,35.055981338296725,28.777298113527163,27.207627307334775,23.021838490821732,44.9972297775152,8.894801235090215,39.24177015480977,65.92617386008041,30.346968919719554,10.987695643346735,38.19532295068151,30.346968919719554,56.50814902292607,48.65979499196411,7.325130428897824,40.81144096100216,51.27591300228477,0.044064206664356356,0.044136820273009116,0.04353707903558088,0.0444419432237719,0.04269121253922803,0.04248901909448604,0.04325306415669215,0.04279380695324639,0.04410347223146634,0.04207476853553814,0.04319100522849435
13,ARK08670@H,43.90199951750624,19.337785501758702,58.0133565052761,35.01707104372522,28.222713975539726,27.17742827274196,21.95099975875312,48.08314232869731,7.839642770983257,40.24349955771405,66.37564212765824,31.35857108393303,11.498142730775443,37.10764244932075,29.267999678337492,58.0133565052761,49.65107088289396,7.316999919584373,40.24349955771405,51.218999437090616,0.044162376375859035,0.044455264121871015,0.04380751857500578,0.044374495377307345,0.04288505699970866,0.04292979996653542,0.04305172906042302,0.04291037546636926,0.04366986691818408,0.042411682769252924,0.04269898297059973
14,ARK08627@H,40.364669456977325,22.306791015697993,61.078118257268315,29.742388020930658,23.900133231104995,30.804616164535325,15.933422154069996,44.08246795959366,10.622281436046663,41.95801167238432,70.10705747790799,22.306791015697993,6.373368861627998,40.364669456977325,24.96236137470966,67.98260119069865,56.29809161104732,6.904482933430331,37.17798502616332,66.92037304709397,0.04460421625798323,0.04330639261106037,0.040724669407847074,0.04268695396507661,0.04263220388504643,0.04341278341985147,0.04225708312131986,0.04171626276744979,0.04354951608112661,0.04216578709045741,0.04183005959044802
15,ARK08635@H,43.47428695949201,18.85631723544232,60.23545783544074,35.09370152151765,28.808262443036874,27.236902673416683,23.0466099544295,45.04564672911221,8.904372027847762,39.28399424050483,67.56847009366831,30.37962221265707,10.999518387341352,38.76020765063143,29.332049032910273,56.568951706326956,49.23593944809939,7.333012258227568,40.33156742025162,50.80729921771958,0.044164092675192244,0.044195159073895214,0.04355959861750573,0.04439135726848541,0.04251551708277034,0.042450730918435514,0.04325741266009098,0.042626831416935365,0.04395386662872125,0.04204351547401408,0.04305532831055603
16,ARK08642@H,38.647581102672945,18.529662172514424,47.11828381010811,24.353270283876103,20.647337849373216,24.8826892030908,20.11791893015852,39.70641894110234,9.000121626649864,40.23583786031704,53.47131084068448,22.765013526232007,7.941283788220468,31.235716233667173,20.11791893015852,57.706662194402064,48.17712164853751,5.823608111361676,27.52978379916429,61.942013548119654,0.044705576628003514,0.04478616324847313,0.04062011398653851,0.04320887687128466,0.04268786723423842,0.043731558943455685,0.04150625254896749,0.042198109150910115,0.042010742647751564,0.04220350180409025,0.04292231772158863
17,ARK08651@H,43.431867110336036,19.36119377207751,60.69995885299976,35.059458992680895,28.78015290443954,27.2103263823792,23.024122323551634,45.001693632396375,8.895683625008585,39.245663051508465,65.93271392653422,30.34997942649988,10.98878565442237,38.19911203680157,30.34997942649988,55.99047928681874,48.6646221838705,7.325857102948246,40.815489573568804,51.28099972063772,0.04407032750526221,0.04415354369707204,0.043514575565765205,0.0444045152669595,0.042713845064907205,0.042458912576366074,0.04322569422361068,0.04281469234546222,0.04411579933810503,0.04208780325518394,0.043164783807859784
18,ARK08661@H,43.42335866169163,19.357400849187837,59.64172153533549,35.0525907269077,28.774514775819757,27.204995788047768,23.019611820655804,44.992877649463615,8.893940930707924,39.237974694299666,65.91979748642343,30.344033763591742,10.986632914403907,38.19162870245167,30.344033763591742,57.025856555715514,48.655088620931586,7.324421942935938,40.80749368207165,51.270953600551564,0.044027986248416986,0.044148132809671496,0.043544734551388534,0.04444951998516806,0.04265567353088662,0.04249780162729056,0.04329989823015986,0.04282134084707846,0.044110480743922306,0.042068728723376816,0.0432027067786448
19,ARU07587@H,43.42755897132281,19.359273276372818,60.17071423737498,35.055981338296725,28.777298113527163,27.207627307334775,23.021838490821732,44.9972297775152,8.894801235090215,39.24177015480977,65.92617386008041,30.346968919719554,10.987695643346735,38.19532295068151,30.346968919719554,56.50814902292607,48.65979499196411,7.325130428897824,40.81144096100216,51.27591300228477,0.044064206664356356,0.044136820273009116,0.04353707903558088,0.0444419432237719,0.04269121253922803,0.04248901909448604,0.04325306415669215,0.04279380695324639,0.04410347223146634,0.04207476853553814,0.04319100522849435
20,ARU07601@H,38.640653554342755,18.52634074523283,47.109837895020625,24.34890497944886,20.643636830402297,24.87822900074123,20.11431280910993,39.69930159692749,8.99850836197023,40.22862561821986,52.93240212923666,22.76093291557176,7.939860319385498,31.230117256249628,20.11431280910993,58.22564234216032,48.168485937605354,5.822564234216032,27.52484910720306,61.93091049120689,0.044651175300948566,0.04480170513896237,0.04061939545526694,0.043161393550528955,0.04272411109717137,0.04380214723725154,0.04151842061054622,0.04220171580041616,0.04208184187621703,0.04219669511625292,0.0429173775240714
21,ARU07568@H,43.42755897132281,19.359273276372818,60.17071423737498,35.055981338296725,28.777298113527163,27.207627307334775,23.021838490821732,44.9972297775152,8.894801235090215,39.24177015480977,65.92617386008041,30.346968919719554,10.987695643346735,38.19532295068151,30.346968919719554,56.50814902292607,48.65979499196411,7.325130428897824,40.81144096100216,51.27591300228477,0.044064206664356356,0.044136820273009116,0.04353707903558088,0.0444419432237719,0.04269121253922803,0.04248901909448604,0.04325306415669215,0.04279380695324639,0.04410347223146634,0.04207476853553814,0.04319100522849435
22,ARU07594@H,41.1068817231298,20.820368664961848,59.25797235412218,29.895913980458037,24.02350230572521,29.895913980458037,14.947956990229018,43.24230415030537,13.346390169847338,43.24230415030537,69.93508449000005,24.02350230572521,6.4062672815267225,39.50531490274812,25.62506912610689,72.07050691717562,54.987127499771034,6.940122888320616,36.30218126198476,66.1980952424428,0.04429331930146427,0.043311861439111116,0.040573831849814286,0.04254762457735215,0.04238695275037853,0.04283917926343643,0.04219747728472406,0.041427819821430734,0.04319275933958332,0.041576093612451404,0.041797473966360285
