,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12
0,ACJ35486@H,40.93081273375376,18.191472326112784,56.59569168123977,34.361669949324146,28.297845840619885,26.276571137718463,21.223384380464914,46.99463684245802,8.590417487331036,37.89890067940163,64.1754718171201,27.287208489169174,10.611692190232457,34.8669886250495,27.79252716489453,57.101010356965126,51.037186248260866,7.579780135880326,37.39358200367628,51.542504923986215,0.04191036434459336,0.041773864775062244,0.04186046552147449,0.04200394633808882,0.04025136068336769,0.04144188285269755,0.04141469819393949,0.0405665661618619,0.04190053715284331,0.0394681471123466,0.04012690246184413,0.04196258867652542
1,ATP16757@H,41.58078627337749,18.035039829416743,57.6119327884146,34.06618634445385,27.052559744125116,25.549639758340387,21.54185312958111,45.08759957354186,7.514599928923643,38.073972973213124,63.623612731553514,29.056453058504754,10.5204399004931,35.569106330238576,28.054506401314935,54.10511948825023,46.08954623073168,7.013626600328734,39.07591963040294,50.097332859490955,0.04207317301476283,0.04204215018925876,0.04211244551630864,0.0426435348563119,0.04032454661895642,0.041543560337020745,0.04161618329752096,0.04137452486214471,0.0418545876760994,0.0403214916801712,0.04112462191411159,0.04199585144242331
2,ATP16767@H,42.053905304603894,18.523744003218383,56.071873739471854,33.54299589771977,27.034653410102504,26.033369950469076,21.026952652301947,46.059039143137596,7.509625947250695,38.5494131958869,63.58149968672255,30.03850378900278,11.014118055967685,35.545562816986624,28.53657859955264,55.070590279838434,47.06032260277102,7.008984217433982,38.5494131958869,49.06288952203788,0.04223671043062198,0.042555214090062354,0.041949972457581974,0.04245560576385077,0.04105049037017896,0.04114572152653643,0.04126650883389442,0.041126449708091324,0.04183219311092913,0.040649688078523434,0.040915188122792774,0.042174527690223514
3,AFR79257@H,37.76281117962907,20.140165962468835,45.8188775646166,23.161190856839163,19.636661813407116,22.65768670777744,19.133157664345394,38.26631532869079,7.049058086864092,36.75580288150562,51.35742320429553,19.636661813407116,7.552562235925814,30.210248943703256,18.629653515283675,54.37844809866586,45.8188775646166,5.53854563967893,26.68571990027121,58.90998544022135,0.04314936846008425,0.04309197276513478,0.03960841313958446,0.041786571726775044,0.04142966599675545,0.04258160253415198,0.04007376323572854,0.040813767436381175,0.040796305345816755,0.04087591719200395,0.041741134569986856,0.040547368535875844
4,AFR79250@H,36.794696649631625,19.657440675830593,45.86736157693805,23.689736199077895,19.657440675830593,22.681662318266067,19.153403735424682,37.802770530443446,7.56055410608869,37.298733590037536,50.90773098099718,20.161477616236507,7.056517165682777,29.738179483948844,18.649366795018768,54.94002650424448,46.37139851734396,5.544406344465039,26.71395784151337,59.47635896789769,0.04299471040772955,0.042976604716882374,0.03944575369329387,0.04151859507095028,0.0411020939898794,0.04261870395754011,0.04030402648583194,0.04077035869588526,0.04095078503251106,0.04078179454461333,0.04143662048986792,0.0410630125091023
5,AGN52936@H,43.95213650725165,21.976068253625826,38.4581194438452,32.96410238043874,20.9771560602792,35.46138286380531,22.974980446972456,45.94996089394491,10.4885780301396,36.95975115382525,59.93473160079771,25.472260930339026,10.4885780301396,35.46138286380531,30.966277993745482,66.9271169542241,45.94996089394491,4.994560966733142,37.958663347171886,47.44832918396485,0.042970976130182206,0.04385218781537559,0.03955703704004446,0.04105482257510422,0.0421998366524943,0.041562979656461954,0.04031863842948774,0.04009136357913933,0.042276008183529126,0.04306205568573259,0.04220149211312913,0.04139650546600523
6,AID55066@H,43.82809530481728,22.910140727518126,38.34958339171512,32.87107147861296,20.917954577299156,34.86325762883193,22.910140727518126,45.82028145503625,9.960930751094837,36.35739724149615,59.76558450656902,25.400373415291835,10.458977288649578,35.361304166386674,30.878885328393995,66.73823603233541,45.82028145503625,4.980465375547419,37.85153685416038,47.812467605255215,0.04307233573874654,0.04413678489238459,0.03951193812258712,0.041127024381165604,0.04243397500734937,0.04175993702540146,0.040455330550172426,0.04019366751965158,0.04239144740787699,0.04312384745290941,0.04211579768764444,0.04163137665936867
7,AID55067@H,43.82809530481728,22.910140727518126,38.34958339171512,32.87107147861296,20.917954577299156,34.86325762883193,22.910140727518126,45.82028145503625,9.960930751094837,36.35739724149615,59.76558450656902,25.400373415291835,10.458977288649578,35.361304166386674,30.878885328393995,66.73823603233541,45.82028145503625,4.980465375547419,37.85153685416038,47.812467605255215,0.04307233573874654,0.04413678489238459,0.03951193812258712,0.041127024381165604,0.04243397500734937,0.04175993702540146,0.040455330550172426,0.04019366751965158,0.04239144740787699,0.04312384745290941,0.04211579768764444,0.04163137665936867
8,ASU45807@H,43.375789927410956,22.435753410729806,37.89149464923256,32.90577166907038,20.940036516681154,34.90006086113525,22.934325708746023,45.868651417492046,10.470018258340577,36.39577775518391,59.82867576194615,25.427187198827113,10.470018258340577,35.89720545716769,30.91148247700551,67.80583253020563,45.868651417492046,4.985722980162179,37.89149464923256,47.3643683115407,0.04299537266167487,0.044011638647298124,0.03957882434095581,0.04107750394032834,0.042329413735680575,0.041674832591893696,0.040425498310601944,0.040173822298662426,0.04234461991458958,0.04309565186700576,0.04217332211328263,0.041547201561808335
9,ALJ53431@H,39.296002470576305,20.413507776922753,58.17849716422985,28.578910887691855,22.965196249038097,29.599586276537995,14.799793138268997,41.84769094269165,11.227429277307515,40.31667785942244,68.38525105269123,21.94452086019196,6.124052333076826,39.296002470576305,23.47553394346117,65.83356258057589,53.58545791442223,6.6343900274998955,35.723638609614824,63.79221180288361,0.04269702370823033,0.04140730406617629,0.039114705116327426,0.040633478222493837,0.0406360291377842,0.04138038818016713,0.040458645089930294,0.0399035866609698,0.04154614898340436,0.040284601564906396,0.04010754705390979,0.041492847792631286
