,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3
0,ACJ35486@H,64.88062971539459,28.83583542906426,89.71148800153325,54.46768914378805,44.85574400076663,41.651762286426155,33.641808000574976,74.492574858416,13.616922285947012,60.07465714388388,101.72641943031003,43.25375314359639,16.820904000287488,55.26868457237317,44.05474857218151,90.51248343011838,80.90053828709696,12.014931428776777,59.273661715298765,81.70153371568207,0.066433345654934,0.0662169761905731,0.06635424956937448
1,ATP16757@H,66.29578049427171,28.754796358961226,91.85559948001503,54.31461534470454,43.13219453844184,40.735961508528405,34.34600676209258,71.88699089740307,11.981165149567177,60.70457009114037,101.44053159966877,46.327171911659754,16.773631209394047,56.710848374617974,44.7296832250508,86.26438907688367,73.48447958401202,11.1824208062627,62.30205877774932,79.87443433044785,0.06708083451202299,0.06703137218544726,0.06714344999805118
2,ATP16767@H,67.03060696600957,29.525386401694693,89.3741426213461,53.464888889555255,43.09110447814901,41.49513764562497,33.515303483004786,73.41447429610572,11.969751243930281,61.44472305217544,101.34389386527639,47.879004975721124,17.555635157764414,56.65682255460333,45.48505472693507,87.77817578882207,75.01044112862976,11.171767827668262,61.44472305217544,78.20237479367783,0.06732198391339973,0.06782965361633327,0.06686494620824823
3,AFR79257@H,60.00250570311715,32.001336374995816,72.80304025311548,36.80153683124519,31.20130296562092,36.00150342187029,30.401269556246024,60.80253911249205,11.200467731248535,58.40243888436736,81.60340775623932,31.20130296562092,12.000501140623431,48.002004562493724,29.601236146871127,86.4036082124887,72.80304025311548,8.80036750312385,42.401770696869455,93.60390889686276,0.06856137417303211,0.06847017636741436,0.06293504008465826
4,AFR79250@H,58.454940488826615,31.22935176800326,72.86848745867427,37.63537264349111,31.22935176800326,36.033867424619146,30.428599158567277,60.05644570769857,12.011289141539715,59.2556930982626,80.87601355303408,32.03010437743924,11.210536532103735,47.24440395672288,29.6278465491313,87.28203442852192,73.66924006811026,8.808278703795791,42.43988830010699,94.48880791344575,0.06830476854178187,0.06827600442147783,0.06266661760075934
5,AGN52936@H,70.22944605748285,35.11472302874142,61.4507653002975,52.67208454311214,33.51859925470772,56.66239397819639,36.71084680277513,73.42169360555026,16.75929962735386,59.05657963924695,95.76742644202207,40.70115623785938,16.75929962735386,56.66239397819639,49.479836995044735,106.94029286025798,73.42169360555026,7.980618870168506,60.65270341328065,75.8158792666008,0.06866168723502449,0.07006974184689305,0.06320668390123198
6,AID55066@H,70.15103786397155,36.669860701621495,61.38215813097511,52.61327839797867,33.48117716235006,55.8019619372501,36.669860701621495,73.33972140324299,15.943417696357171,58.193474591703676,95.66050617814302,40.655715125710785,16.74058858117503,56.59913282206796,49.42459485870723,106.82089856559305,73.33972140324299,7.971708848178586,60.584987246157255,76.52840494251443,0.06894137274923726,0.07064512492833157,0.06324261750457251
7,AID55067@H,70.15103786397155,36.669860701621495,61.38215813097511,52.61327839797867,33.48117716235006,55.8019619372501,36.669860701621495,73.33972140324299,15.943417696357171,58.193474591703676,95.66050617814302,40.655715125710785,16.74058858117503,56.59913282206796,49.42459485870723,106.82089856559305,73.33972140324299,7.971708848178586,60.584987246157255,76.52840494251443,0.06894137274923726,0.07064512492833157,0.06324261750457251
8,ASU45807@H,69.38370884345709,35.88812526385712,60.611056001180906,52.6359170536571,33.49558357959997,55.82597263266663,36.6856391586095,73.371278317219,16.747791789799987,58.218514316923766,95.70166737028565,40.6732086323714,16.747791789799987,57.42100042217139,49.445861474647586,108.46188968632373,73.371278317219,7.975138947523804,60.611056001180906,75.76382000147613,0.06877519518067358,0.07040080945471897,0.063310100612227
9,ALJ53431@H,62.024441974101,32.220489337195325,91.82839461100667,45.108685072073456,36.24805050434474,46.71970953893322,23.35985476946661,66.05200314125041,17.72126913545743,63.63546644096077,107.93863927960433,34.63702603748497,9.666146801158597,62.024441974101,37.05356273777463,103.91107811245492,84.57878451013772,10.47165903458848,56.38585634009182,100.6890291787354,0.06739258201749365,0.06535690062314989,0.06173828392947325
