,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5
0,ACJ35486@H,57.39691587335484,25.50974038815771,79.36363676315732,48.18506517763122,39.68181838157866,36.84740278289447,29.761363786183992,65.90016266940741,12.046266294407806,53.14529247532856,89.99269525822302,38.264610582236564,14.880681893091996,48.89366907730227,38.97321448190761,80.07224066282836,71.5689938667758,10.629058495065712,52.43668857565751,72.27759776644685,0.058770532414191445,0.058579120277811716,0.05870055973685021,0.05890176161413085,0.05644412628596833
1,ATP16757@H,58.550536287978446,25.39541332972559,81.1242370255123,47.96911406725945,38.093119994588385,35.976835550444584,30.33341036606112,63.48853332431398,10.581422220718995,53.612539251642914,89.58937480208749,40.914832586780115,14.813991109006594,50.08539851140325,39.50397629068425,76.18623998917677,64.89938962040983,9.875994072671062,55.02339554773878,70.54281480479331,0.05924387353224455,0.05920018982077047,0.0592991737377712,0.060047008698600905,0.056781606162679875
2,ATP16767@H,59.15672142696524,26.05712729521088,78.87562856928699,47.18452780484132,38.0293209173348,36.6208275500261,29.57836071348262,64.79069489620002,10.563700254815222,54.226994641384806,89.43932882410222,42.25480101926089,15.493427040395659,50.00151453945872,40.14206096829784,77.4671352019783,66.19918826350873,9.859453571160874,54.226994641384806,69.01617499812612,0.05941387119312714,0.059861906449746226,0.0590105203444771,0.05972178861852878,0.057745229739772655
3,AFR79257@H,52.99521969680298,28.264117171628254,64.30086656545429,32.50373474737249,27.557514242337547,31.797131818081787,26.850911313046844,53.70182262609369,9.89244101006989,51.58201383822156,72.07349878765206,27.557514242337547,10.599043939360595,42.39617575744238,26.144308383756137,76.31311636339629,64.30086656545429,7.77263222219777,37.449955252407435,82.67254272701264,0.060554555921250336,0.06047400848930654,0.055585283261600504,0.05864204702618253,0.058141176010953685
4,AFR79250@H,51.67252359656675,27.605868770768534,64.41369379845992,33.26861108272106,27.605868770768534,31.852925504732926,26.89802598177447,53.088209174554876,10.617641834910975,52.38036638556081,71.49212168840057,28.313711559762602,9.90979904591691,41.762724550649835,26.190183192780406,77.15486400035309,65.12153658745399,7.786270678934716,37.51566781668544,83.52544910129967,0.06037949461103116,0.06035406793755043,0.055395527728083434,0.05830651639633661,0.05772160433293343
5,AGN52936@H,61.98377807585817,30.991889037929084,54.235805816375894,46.48783355689363,29.583166808932308,50.00963912938557,32.40061126692586,64.80122253385171,14.791583404466154,52.12272247288073,84.52333373980659,35.9224168394178,14.791583404466154,50.00963912938557,43.670389098900074,94.38438934278403,64.80122253385171,7.043611144983883,53.531444701877504,66.91430587734689,0.06060009045787254,0.06184282480194402,0.05578556129629966,0.05789782280593201,0.059512586139563596
6,AID55066@H,61.87537192634683,32.343944416044934,54.14095043555348,46.40652894476012,29.531427510301896,49.21904585050316,32.343944416044934,64.68788883208987,14.062584528715188,51.32843352981044,84.37550717229114,35.85959054822373,14.765713755150948,49.92217507693892,43.59401203901708,94.21931634239176,64.68788883208987,7.031292264357594,53.437821209117715,67.5004057378329,0.06080841010853811,0.062311171905964434,0.05578193279590598,0.05806206982325455,0.05990718893057756
7,AID55067@H,61.87537192634683,32.343944416044934,54.14095043555348,46.40652894476012,29.531427510301896,49.21904585050316,32.343944416044934,64.68788883208987,14.062584528715188,51.32843352981044,84.37550717229114,35.85959054822373,14.765713755150948,49.92217507693892,43.59401203901708,94.21931634239176,64.68788883208987,7.031292264357594,53.437821209117715,67.5004057378329,0.06080841010853811,0.062311171905964434,0.05578193279590598,0.05806206982325455,0.05990718893057756
8,ASU45807@H,61.21638351376355,31.663646645050115,53.47638100052908,46.440015079406834,29.55273686871344,49.254561447855735,32.36728323716234,64.73456647432468,14.77636843435672,51.365471224192405,84.43639105346698,35.88546619772346,14.77636843435672,50.66183463208018,43.62546871095793,95.69457652726257,64.73456647432468,7.036365921122248,53.47638100052908,66.84547625066135,0.06067949947606581,0.06211375873525204,0.05585771449775298,0.05797280554907388,0.05973962962963061
9,ALJ53431@H,54.972803968915585,28.557300763073034,81.38830717475814,39.98022106830224,32.12696335845716,41.4080861064559,20.70404305322795,58.542466564299716,15.706515419690168,56.40066900706924,95.66695755629466,30.69909832030351,8.567190228921909,54.972803968915585,32.84089587753399,92.09729496091053,74.96291450306671,9.281122747998735,49.975276335377806,89.24156488460322,0.059730633316357896,0.057926391139037595,0.054719179597768196,0.05684385414452553,0.05684742272548496
