,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4
0,ACJ35486@H,60.83043672594467,27.035749655975412,84.1112211519235,51.067527127953554,42.05561057596175,39.05163839196448,31.541707931971313,69.84235327793648,12.766881781988388,56.32447844994877,95.37611684191326,40.55362448396311,15.770853965985657,51.81852017395287,41.304617529962435,84.86221419792281,75.85029764593101,11.264895689989753,55.573485403949455,76.60129069193033,0.06228622390199156,0.06208336136707215,0.06221206541356437,0.06242530331805503
1,ATP16757@H,62.075269810818426,26.924213411921244,86.00790395474841,50.85684755585124,40.386320117881866,38.14263566688843,32.159477130905934,67.31053352980311,11.218422254967185,56.840006091833736,94.98264175872217,43.377899385873114,15.70579115695406,53.10053200684468,41.88210975187749,80.77264023576373,68.80632316379874,10.470527437969373,58.335795725829364,74.78948169978123,0.06281034585343608,0.06276403238906823,0.06286897512306013,0.06366182963662327
2,ATP16767@H,62.78208749277823,27.65401472896184,83.70944999037097,50.07618883352549,40.35991338821458,38.865101781243666,31.391043746389116,68.76133392066187,11.211087052281828,57.55024686838004,94.9205370426528,44.84434820912731,16.442927676680014,53.06581204746732,42.60213079867094,82.21463838340007,70.25614552763278,10.463681248796371,57.55024686838004,73.24576874157461,0.06305499644933452,0.06353048914065339,0.0626269266094348,0.06338178431512223
3,AFR79257@H,56.266627595368064,30.008868050862965,68.27017481571325,34.51019825849241,29.25864634959139,33.75997655722084,28.508424648319817,57.016849296639634,10.503103817802039,54.766184192824916,76.52261352970056,29.25864634959139,11.253325519073613,45.01330207629445,27.758202947048243,81.02394373733001,68.27017481571325,8.252438713987315,39.76175016739343,87.77593904877418,0.06429260349739484,0.0642070838527387,0.059016576418725535,0.06226203495956687
4,AFR79250@H,54.83785241620259,29.29693485249179,68.35951465581418,35.30656251454139,29.29693485249179,33.80415559902899,28.545731394735594,56.34025933171498,11.268051866342997,55.589055873958785,75.87154923337619,30.048138310247992,10.516848408586798,44.32100400761579,27.794527936979392,81.88117689542578,69.11071811357039,8.263238035318198,39.81378326107859,88.64200801523158,0.06407819057369636,0.06405120632615588,0.05878891841605613,0.06187822692789185
5,AGN52936@H,65.90601550044373,32.953007750221865,57.66776356288826,49.4295116253328,31.455143761575417,53.174171596948916,34.450871738868315,68.90174347773663,15.727571880787709,55.42096757991859,89.87183931878691,38.19553171048444,15.727571880787709,53.174171596948916,46.4337836480399,100.35688723931204,68.90174347773663,7.489319943232242,56.91883156856504,71.1485394607063,0.06443477027419878,0.06575614292178203,0.059315585168030704,0.06156150731276426
6,AID55066@H,65.81836516328552,34.405054517171976,57.59106951787483,49.36377387246414,31.41331064611354,52.35551774352257,34.405054517171976,68.81010903434395,14.958719355292162,54.599325646816396,89.75231613175298,38.14473435599501,15.70665532305677,53.10345371128718,46.372030001405705,100.2234196804575,68.81010903434395,7.479359677646081,56.84313355011022,71.80185290540238,0.06468341145951771,0.06628193639208989,0.05933662308559732,0.06176206129818694
7,AID55067@H,65.81836516328552,34.405054517171976,57.59106951787483,49.36377387246414,31.41331064611354,52.35551774352257,34.405054517171976,68.81010903434395,14.958719355292162,54.599325646816396,89.75231613175298,38.14473435599501,15.70665532305677,53.10345371128718,46.372030001405705,100.2234196804575,68.81010903434395,7.479359677646081,56.84313355011022,71.80185290540238,0.06468341145951771,0.06628193639208989,0.05933662308559732,0.06176206129818694
8,ASU45807@H,65.10577861497062,33.675402731881356,56.87401350273295,49.39059067342598,31.430375883089262,52.38395980514877,34.42374501481205,68.8474900296241,15.715187941544631,54.62898665394086,89.8010739516836,38.165456429465536,15.715187941544631,53.88064437101016,46.397221541703196,101.77455047857475,68.8474900296241,7.483422829306967,56.87401350273295,71.09251687841619,0.06453478354316272,0.06606016874962556,0.059406645497300466,0.06165611927921447
9,ALJ53431@H,58.286225679172524,30.27855879437534,86.2938925639697,42.389982312125476,34.06337864367225,43.90391025184424,21.95195512592212,62.07104552846944,16.653207336906437,59.800153618891294,101.43317196115738,32.54945070395349,9.083567638312601,58.286225679172524,34.820342613531636,97.64835211186046,79.48121683523526,9.840531608171984,52.98747789015684,94.62049623242292,0.06333082764717149,0.061417836874740867,0.058017314394552696,0.0602700512241515
