,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2
0,ACJ35486@H,69.49169927188089,30.885199676391508,96.0872878821069,58.33871049985063,48.04364394105345,44.611955088121064,36.032732955790095,79.78676583067806,14.584677624962657,64.3441659924823,108.95612108060337,46.32779951458726,18.016366477895048,59.19663271308372,47.18572172782036,96.94521009534002,86.65014353654284,12.86883319849646,63.48624377924921,87.50806574977594,0.07115476680988794,0.07092301995701457
1,ATP16757@H,71.06749745620934,30.824456727994413,98.46701454775993,58.223973819545,46.236685091991625,43.66798036465875,36.818101091771105,77.06114181998603,12.84352363666434,65.07385309243266,108.7418334570914,49.66162472843545,17.980933091330076,60.79267854687787,47.94915491021354,92.47337018398325,78.77361163820795,11.987288727553384,66.78632291065456,85.6234909110956,0.07190905666244489,0.07185603422659918
2,ATP16767@H,71.83376799921271,31.641064475843695,95.77835733228362,57.29598161841967,46.17885085663674,44.46852304713168,35.916883999606355,78.67507923723298,12.827458571287984,65.84762066594499,108.6058159035716,51.309834285151936,18.81360590455571,60.716637237429794,48.74434257089434,94.06802952277856,80.38540704673804,11.972294666535452,65.84762066594499,83.80606266574817,0.07214602392208921,0.07269007132537843
3,AFR79257@H,64.03238651516541,34.150606141421555,77.69262897173404,39.273197062634786,33.296840987886014,38.41943190909925,32.44307583435048,64.88615166870096,11.952712149497545,62.32485620809434,87.08404566062497,33.296840987886014,12.806477303033084,51.225909212132336,31.58931068081494,92.2066365818382,77.69262897173404,9.391416688890928,45.24955313738356,99.89052296365804,0.07316608464286853,0.07306876182159264
4,AFR79250@H,62.36302001663775,33.317229871902356,77.74020303443884,40.15153343536951,33.317229871902356,38.44295754450272,32.462941926468964,64.07159590750453,12.814319181500906,63.21730796207114,86.28308248877278,34.17151781733575,11.960031236067513,50.40298878057023,31.60865398103557,93.11738605223992,78.59449097987222,9.397167399767332,45.27726110796987,100.80597756114047,0.07287137087441174,0.07284068369219444
5,AGN52936@H,74.96791965804165,37.483959829020826,65.59692970078643,56.225939743531235,35.78014347315624,60.485480633192694,39.18777618488541,78.37555236977082,17.89007173657812,63.04120516698956,102.22898135187496,43.44731707454686,17.89007173657812,60.485480633192694,52.81830703180207,114.15569584292705,78.37555236977082,8.519081779322914,64.74502152285415,80.93127690356768,0.07329438207454646,0.07479743999316221
6,AID55066@H,74.88709368598329,39.14552624494581,65.52620697523538,56.16532026448747,35.74156744103748,59.5692790683958,39.14552624494581,78.29105248989163,17.019794019541656,62.122248171327044,102.11876411724994,43.400474749831226,17.87078372051874,60.42026876937288,52.76136146057914,114.0326199309291,78.29105248989163,8.509897009770828,64.6752172742583,81.69501129379995,0.07359576133319001,0.07541453768972715
7,AID55067@H,74.88709368598329,39.14552624494581,65.52620697523538,56.16532026448747,35.74156744103748,59.5692790683958,39.14552624494581,78.29105248989163,17.019794019541656,62.122248171327044,102.11876411724994,43.400474749831226,17.87078372051874,60.42026876937288,52.76136146057914,114.0326199309291,78.29105248989163,8.509897009770828,64.6752172742583,81.69501129379995,0.07359576133319001,0.07541453768972715
8,ASU45807@H,74.07329671090376,38.31377416081229,64.70770747159409,56.193535435858024,35.75952255009147,59.59920425015245,39.16519136438589,78.33038272877178,17.879761275045734,62.153455860873265,102.17006442883277,43.422277382253924,17.879761275045734,61.30203865729966,52.787866621563595,115.79273968601046,78.33038272877178,8.514172035736063,64.70770747159409,80.8846343394926,0.07342365410967443,0.07515914231671914
9,ALJ53431@H,66.10569408486745,34.340620303827244,97.87076786590765,48.07686842535814,38.633197841805654,49.79389944054951,24.896949720274755,70.39827162284585,18.887341167104985,67.8227251000588,115.04107801782128,36.91616682661429,10.302186091148174,66.10569408486745,39.49171334940133,110.74850047984286,90.14412829754652,11.160701598743854,60.09608553169768,107.31443844946014,0.0718270615364508,0.06965743086786798
