,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8
0,ACJ35486@H,48.928590932676144,21.74604041452273,67.65434795629294,41.07585411632071,33.82717397814647,31.410947265421722,25.370380483609853,56.17727107085039,10.268963529080178,45.304250863589026,76.71519812901074,32.6190606217841,12.685190241804927,41.6799107945019,33.22311729996528,68.25840463447413,61.00972449629989,9.060850172717805,44.70019418540784,61.613781174481076,0.050099544472640686,0.04993637322941329,0.0500398955445755,0.050211412153064926,0.04811637565495964,0.049539522871662384,0.049507026398732085,0.04849317149376455
1,ATP16757@H,49.81504078905629,21.60652371573526,69.02083964748763,40.8123225741666,32.40978557360289,30.60924193062495,25.807792216017116,54.016309289338146,9.002718214889692,45.613772288774435,76.22301421939939,34.81051043090681,12.603805500845569,42.61286621714454,33.610148002254846,64.81957114720578,55.21667171799011,8.402537000563711,46.8141347174264,60.018121432597944,0.05040493501195139,0.050367768727799946,0.05045198465775487,0.051088245765492375,0.048310027651152186,0.04977044299030785,0.049857447495604,0.04956793337395799
2,ATP16767@H,50.39845857779162,22.19932104021774,67.19794477038883,40.198770532286176,32.399009085723186,31.199045786251958,25.19922928889581,55.19831177567654,8.999724746034218,46.19858702964232,76.19766951642305,35.99889898413687,13.19959629418352,42.59869713122863,34.19895403493003,65.99798147091761,56.39827507514777,8.399743096298604,46.19858702964232,58.79820167409023,0.05061753684186005,0.050999239643797524,0.05027390283801987,0.05087986651860937,0.04919594086528285,0.049310068279948244,0.04945482282919906,0.04928697244766848
3,AFR79257@H,45.16870479404621,24.089975890157977,54.804695150109396,27.703472273681673,23.487726492904027,27.101222876427723,22.885477095650078,45.770954191300156,8.431491561555292,43.96420599953831,61.42943851990284,23.487726492904027,9.033740958809242,36.13496383523697,22.28322769839613,65.04293490342654,54.804695150109396,6.6247433697934435,31.919218054459318,70.46317947871208,0.05161165244695689,0.05154300053464852,0.047376258932428465,0.04998158939237318,0.04955468871800668,0.05093253850656288,0.047932871654363524,0.048818002560710456
4,AFR79250@H,44.02502370071506,23.52021814147791,54.880508996781785,28.34487827306312,23.52021814147791,27.138713240166815,22.917135625029758,45.23118873361136,9.046237746722273,44.62810621716321,60.9113341612633,24.12330065792606,8.44315523027412,35.58186847044094,22.314053108581604,65.73599429284852,55.48359151322994,6.633907680929666,31.96337337175203,71.16373694088188,0.051443368666136954,0.051421705123799455,0.04719702564139002,0.049677189879408265,0.04917884442109064,0.05099347521983842,0.04822395298347332,0.04878192161671139
5,AGN52936@H,52.886588466168284,26.443294233084142,46.275764907897255,39.66494134962622,25.2413263133985,42.669861148840326,27.645262152769785,55.29052430553957,12.62066315669925,44.47281302836879,72.11807518113858,30.650181951983893,12.62066315669925,42.669861148840326,37.26100551025493,80.53185061893808,55.29052430553957,6.009839598428215,45.67478094805443,57.093476185068035,0.05170598089609439,0.05276632251882101,0.04759806701393554,0.04940031767790988,0.05077808661273533,0.05001177133121527,0.04851448433649512,0.04824100976997199
6,AID55066@H,52.758053753779876,27.57807355311221,46.163297034557395,39.56854031533491,25.17998020066767,41.96663366777945,27.57807355311221,55.15614710622442,11.9904667622227,43.765203682112855,71.9428005733362,30.575690243667886,12.589990100333836,42.56615700589059,37.17044696289037,80.3361273068921,55.15614710622442,5.99523338111135,45.56377369644626,57.55424045866896,0.05184830845149404,0.05312963873233856,0.04756248111832397,0.04950664061360803,0.05107988195367057,0.05026850897849616,0.048698089409291254,0.04838311263164246
7,AID55067@H,52.758053753779876,27.57807355311221,46.163297034557395,39.56854031533491,25.17998020066767,41.96663366777945,27.57807355311221,55.15614710622442,11.9904667622227,43.765203682112855,71.9428005733362,30.575690243667886,12.589990100333836,42.56615700589059,37.17044696289037,80.3361273068921,55.15614710622442,5.99523338111135,45.56377369644626,57.55424045866896,0.05184830845149404,0.05312963873233856,0.04756248111832397,0.04950664061360803,0.05107988195367057,0.05026850897849616,0.048698089409291254,0.04838311263164246
8,ASU45807@H,52.20720169464472,27.003725014471406,45.606291135551714,39.60546335455806,25.203476680173313,42.00579446695552,27.603807792570773,55.207615585141546,12.601738340086657,43.80604280125362,72.00993337192375,30.604221683067596,12.601738340086657,43.205960023154255,37.20513224216061,81.61125782151359,55.207615585141546,6.000827780993646,45.606291135551714,57.007863919439636,0.051749330588351426,0.05297251069355827,0.04763716507902519,0.04944097933234549,0.05094778087529912,0.050159925487388436,0.04865622383915138,0.0483533060055161
9,ALJ53431@H,46.972825075018605,24.401467571438236,69.54418257859898,34.16205460001353,27.451651017868016,35.382127978585444,17.691063989292722,50.02300852144839,13.42080716429103,48.192898453590516,81.7449163643181,26.231577639296106,7.320440271431472,46.972825075018605,28.061687707153972,78.69473291788832,64.05385237502537,7.930476960717427,42.70256825001692,76.2545861607445,0.05103826597558772,0.04949658816275213,0.046756109674665286,0.04857158857733523,0.04857463783655199,0.049464414019690275,0.04836260024170557,0.047699106225755766
10,AOG74783@H,45.3361284065594,22.970305059323433,54.403354087871286,27.806158756023102,23.57478677141089,27.806158756023102,22.970305059323433,45.3361284065594,9.06722568131188,45.3361284065594,60.44817120874587,24.179268483498348,8.462743969224421,36.26890272524752,22.970305059323433,65.28402490544555,55.612317512046204,6.649298832962046,32.03753074063531,71.32884202632013,0.05122037863602585,0.05148513507154386,0.04692164809293844,0.049666639172312545,0.04925858054078455,0.050486568523771015,0.04786052730082476,0.04861881057434022
11,ARK08679@H,49.28442450047736,22.23809398192271,69.1184002140841,40.26898099429248,33.05662618934457,31.253537488107593,26.445300951475655,51.688542768793326,10.217502640342866,45.077217530924415,75.72972545195302,34.85971489058154,12.621620908658835,43.87515839676643,34.85971489058154,65.51222281161014,55.89574973834627,8.41441393910589,46.88030623216139,58.90089757374123,0.05061997214084103,0.05068337388133174,0.04999887000334391,0.05100952385410805,0.04903992990652977,0.04878233968200156,0.049661389889259035,0.04917503356359274
12,ARU07610@H,49.880570806367686,22.235917106453066,69.11163424978656,40.265039084658255,33.05339029337618,31.25047809555566,26.44271223470094,51.683483004188204,10.216502454316274,45.07280494551297,75.7223123084618,34.8563024911967,12.620385384743631,43.87086348029929,34.8563024911967,64.90483912153869,55.89027813243609,8.413590256495755,46.87571714333349,58.895131795470284,0.05061181960513256,0.05069522305523901,0.05000636473652042,0.0510456850040725,0.04903480877842653,0.04880257089363785,0.04968014736183846,0.04915264795829294
13,ARK08670@H,50.391435411158255,22.196227502533993,66.58868250760197,40.1931687208048,32.39449419288745,31.194698111669396,25.195717705579128,55.19061973603047,8.998470609135403,46.19214912689507,76.1870511573464,35.99388243654161,13.19775689339859,42.592760883240906,33.594290274105504,66.58868250760197,56.99031385785755,8.398572568526376,46.19214912689507,58.79000797968463,0.05069030024156337,0.05102648160227787,0.050282988635067825,0.05093377391197557,0.04922417210275193,0.04927552881423963,0.049415481028874594,0.04925323305422245
14,ARK08627@H,46.26563689862947,25.567851970295234,70.00721372818933,34.090469293726976,27.394127111030606,35.307986054217224,18.262751407353736,50.52694556034534,12.17516760490249,48.09191203936484,80.35610619235645,25.567851970295234,7.305100562941495,46.26563689862947,28.611643871520855,77.92107267137595,64.5283883059832,7.91385894318662,42.61308661715872,76.7035559108857,0.051124968971672874,0.04963741467196563,0.046678265745453466,0.04892741942459691,0.048864665353848306,0.04975935890178589,0.04843470516140307,0.04781482152414921
15,ARK08635@H,49.916094210617395,21.650354115448508,69.1608534243494,40.29371460375139,33.07692989860189,31.272733722314513,26.46154391888151,51.72029038690477,10.22377833229513,45.10490440718439,77.58043558035716,34.881126074889266,12.62937323401163,44.503505681755264,33.67832862403101,64.95106234634552,56.531480190337774,8.419582156007753,46.30770185804264,58.335676366625144,0.0507081119641,0.05074378162984718,0.050014046932939094,0.05096905151349686,0.04881525850197579,0.04874087264061606,0.04966708453805277,0.04894306684984704
16,ARK08642@H,44.276778506046085,21.22859243440566,53.981277904631526,27.90043577093315,23.65471728405202,28.50696698334474,23.048186071640426,45.48984093086926,10.311030610997033,46.09637214328085,61.25965245357061,26.08084213369838,9.097968186173853,35.78534153228382,23.048186071640426,66.11190215286334,55.19434032945471,6.671843336527492,31.539623045402692,70.96415185215605,0.051217148858154066,0.051309473289419365,0.04653661984935767,0.049502447918857495,0.04890555083912237,0.05010126103156216,0.047551828556730576,0.048344457245206
