,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15
0,ACJ35486@H,36.42921029042056,16.190760129075805,50.37125373490251,30.582546910476523,25.185626867451255,23.386653519776164,18.88922015058844,41.82613033344583,7.645636727619131,33.730750268907926,57.11740378868409,24.286140193613708,9.44461007529422,31.032290247395295,24.73588353053248,50.82099707182128,45.42407702879601,6.7461500537815855,33.281006931989154,45.873820365714785,0.03730103005744338,0.03717954281614802,0.037256619145486516,0.03738431983091108,0.03582448490207371,0.03688407252238402,0.036859877653422767,0.03610502383824022,0.03729228366784307,0.035127409765388,0.035713714692018374,0.037347510716955454,0.03786185831435854,0.03559088065659246,0.03652803450196198
1,ATP16757@H,37.022848932745475,16.058103151552256,51.296718400791924,30.331972619598705,24.087154727328382,22.74897946469903,19.180512097687416,40.145257878880635,6.690876313146773,33.900439986610316,56.64941945130934,25.87138841083419,9.367226838405482,31.670147882228058,24.979271569081284,48.174309454656765,41.037374720633544,6.244817892270321,34.79255682836322,44.60584208764515,0.037461261997446656,0.03743363978331745,0.03749622958758269,0.03796910281021632,0.03590431378424748,0.03698970357062907,0.03705436586147589,0.03683919716102284,0.037266637203219745,0.03590159371694523,0.03661668768195602,0.037392416139815504,0.0376479068910691,0.03551106133469928,0.036457461599905164
2,ATP16767@H,37.43580090538847,16.489578970230635,49.914401207184625,29.85950786501223,24.065872010606874,23.174543417621432,18.717900452694234,41.00111527733023,6.684964447390798,34.31615082993943,56.59936565457542,26.739857789563192,9.804614522839836,31.64216505098311,25.40286490008503,49.02307261419919,41.89244387031567,6.239300150898078,34.31615082993943,43.67510105628654,0.03759853148302518,0.037882059005524785,0.037343281332224906,0.037793389060568026,0.03654257490322422,0.03662734835252853,0.03673487153158645,0.036610192848107,0.037238435797901134,0.03618578628432758,0.03642213072667241,0.03754317727341141,0.037392902730166294,0.0356056362476033,0.03681538593040897
3,AFR79257@H,33.66114723129241,17.952611856689284,40.84219197396813,20.64550363519268,17.503796560272054,20.196688338775445,17.05498126385482,34.10996252770964,6.28341414984125,32.76351663845794,45.77916023455768,17.503796560272054,6.732229446258482,26.928917785033928,16.60616596743759,48.472052013061074,40.84219197396813,4.936968260589554,23.787210710113303,52.51138968081616,0.038462635574538495,0.03841147399843267,0.03530628638708527,0.037247861037017,0.03692972115413767,0.037956538389802764,0.03572109178983696,0.03638071933269798,0.036365153913093515,0.03643611860010039,0.03720735910464912,0.03614325574532073,0.03643366979101898,0.03588106376036675,0.036301755004669624
4,AFR79250@H,32.797415423993264,17.521906870352566,40.88444936415599,21.116144177091556,17.521906870352566,20.21758485040681,17.072627207010193,33.69597475067801,6.7391949501356025,33.24669508733564,45.37724599757973,17.97118653369494,6.289915286793229,26.507500137200037,16.62334754366782,48.97148330431871,41.333729027498364,4.942076296766109,23.811822157145798,53.01500027440007,0.03832387563088417,0.03830773689573145,0.03516046844768397,0.03700812166842931,0.036636868193764216,0.037988717554534396,0.035925500691108204,0.036341171769044944,0.036501997052430034,0.03635136525657473,0.03693505259503629,0.036602032424559845,0.0362600366224704,0.03598212712041382,0.03639526473496079
5,AGN52936@H,39.03713535250775,19.518567676253873,34.15749343344428,29.27785151438081,18.63136005460597,31.495870568500568,20.405775297901776,40.81155059580355,9.315680027302985,32.826682000972426,53.2324572988742,22.623794352021534,9.315680027302985,31.495870568500568,27.503436271085004,59.44291065040952,40.81155059580355,4.436038108239517,33.71388962262033,42.14236202827541,0.038165694428677836,0.038948363544738435,0.03513352323206408,0.03646381707685839,0.03748078856156036,0.03691514887416532,0.035809957619262756,0.03560809805564842,0.037548442118436345,0.038246588902084835,0.037482258898295005,0.03676729086265577,0.03785645520335093,0.03699239665762516,0.036977365140624614
6,AID55066@H,38.9135766312278,20.34118778450544,34.049379552324325,29.18518247342085,18.572388846722358,30.95398141120393,20.34118778450544,40.68237556901088,8.843994688915409,32.28058061454124,53.06396813349245,22.552186456734294,9.286194423361179,31.396181145649702,27.416383535637767,59.25476441573324,40.68237556901088,4.421997344457704,33.60717981787855,42.45117450679396,0.038242561667320735,0.03918765233170074,0.035081397475482536,0.03651538137216191,0.03767578140760774,0.03707732444796877,0.03591900570985465,0.03568668339881384,0.03763802250000518,0.038288297285593485,0.03739328185049612,0.03696317977386047,0.038119531570566086,0.037022311848636594,0.03698985291416081
7,AID55067@H,38.9135766312278,20.34118778450544,34.049379552324325,29.18518247342085,18.572388846722358,30.95398141120393,20.34118778450544,40.68237556901088,8.843994688915409,32.28058061454124,53.06396813349245,22.552186456734294,9.286194423361179,31.396181145649702,27.416383535637767,59.25476441573324,40.68237556901088,4.421997344457704,33.60717981787855,42.45117450679396,0.038242561667320735,0.03918765233170074,0.035081397475482536,0.03651538137216191,0.03767578140760774,0.03707732444796877,0.03591900570985465,0.03568668339881384,0.03763802250000518,0.038288297285593485,0.03739328185049612,0.03696317977386047,0.038119531570566086,0.037022311848636594,0.03698985291416081
8,ASU45807@H,38.5190334281537,19.923637980079498,33.64881081080093,29.221335704116594,18.595395448074196,30.99232574679033,20.36638549074793,40.73277098149586,9.297697724037098,32.320568278795626,53.12970128021199,22.580123044090097,9.297697724037098,31.877820768127197,27.450345661442864,60.213661450906926,40.73277098149586,4.427475106684333,33.64881081080093,42.06101351350116,0.038181211214424395,0.03908368661689263,0.03514721139113783,0.03647808489644872,0.03758981923804586,0.03700853108165352,0.035899083875630323,0.03567558784862572,0.037603322791864485,0.03827026222810629,0.03745120508413505,0.03689519080767684,0.03797279705941654,0.03700853615873165,0.036987959038776975
9,ALJ53431@H,35.05344367744011,18.209581131137718,51.8973062237425,25.493413583592805,20.485778772529933,26.403892640149692,13.201946320074846,37.32964131883232,10.015269622125745,35.963922733996995,61.00209678931136,19.57529971597305,5.462874339341315,35.05344367744011,20.941018300808377,58.725899147919144,47.80015046923651,5.918113867619758,31.866766979491008,56.90494103480537,0.03808727660966139,0.03693680042913181,0.03489171993465507,0.036246520020889746,0.03624879552882528,0.03691279049338944,0.0360905625957075,0.03559543056817304,0.037060655075405236,0.03593530952877234,0.03577737055435112,0.03701310850142221,0.036181498011368635,0.03475442707864563,0.03702820679115866
